physical_run,condition,fg,canonical_replication_index,excerpt_index,k_excerpts,k_reason,n_eligible_starts,start_entry_index,end_entry_index,n_entries,target_words,achieved_words,achieved_over_target,length_match_tolerance,within_tolerance,first_entry_exceeds_target,human_present_n,excerpt_localized_n,shared_n,evidence_localized_length_matched_recall,evidence_localized_length_matched_precision,namespace,caveat
macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,1,10,,10,1,40,40,7631,7496,0.9823,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,2,10,,10,2,40,39,7631,7449,0.9761,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,3,10,,10,3,42,40,7631,7455,0.9769,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,4,10,,10,4,42,39,7631,7395,0.9691,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,5,10,,10,5,44,40,7631,7583,0.9937,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,6,10,,10,6,45,40,7631,7622,0.9988,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,7,10,,10,7,45,39,7631,7586,0.9941,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,8,10,,10,8,45,38,7631,7327,0.9602,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,9,10,,10,9,45,37,7631,7077,0.9274,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,10,10,,10,10,45,36,7631,6993,0.9164,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,1,10,,37,2,41,40,7631,7588,0.9944,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,2,10,,37,5,44,40,7631,7542,0.9883,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,3,10,,37,9,47,39,7631,7586,0.9941,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,4,10,,37,13,51,39,7631,7433,0.9741,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,5,10,,37,17,55,39,7631,7577,0.9929,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,6,10,,37,20,59,40,7631,7627,0.9995,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,7,10,,37,24,61,38,7631,7483,0.9806,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,8,10,,37,28,65,38,7631,7563,0.9911,0.9,True,False,10,0,0,0.0,,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,9,10,,37,31,67,37,7631,7533,0.9872,0.9,True,False,10,0,0,0.0,,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,10,10,,37,35,70,36,7631,7504,0.9834,0.9,True,False,10,0,0,0.0,,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,1,10,,11,2,43,42,7631,7458,0.9773,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,2,10,,11,3,44,42,7631,7548,0.9891,0.9,True,False,10,1,1,0.1,1.0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
