fg,metric,namespace,enriched_n,demographics_only_n,enriched_mean,demographics_only_mean,difference_enriched_minus_demo,enriched_sd,demographics_only_sd,within_cell_sd_pooled,difference_over_pooled_sd,favours,note
fg1,tier1_subtheme_recall,_comparable_window,3,3,0.375,0.3333,0.0417,0.0,0.1443,0.1021,0.408,enriched,"Descriptive difference. Pooled SD is variance-weighted with df; the standardised effect is omitted when it is undefined or zero. Not a significance test — with n=5 FGs no strong inference is drawn, and absence of a difference is never reported as equivalence."
fg1,tier1_matched_theme_precision,_comparable_window,3,3,1.0,1.0,0.0,0.0,0.0,0.0,,tie,"Descriptive difference. Pooled SD is variance-weighted with df; the standardised effect is omitted when it is undefined or zero. Not a significance test — with n=5 FGs no strong inference is drawn, and absence of a difference is never reported as equivalence."
fg1,tier1_participant_reach,_comparable_window,3,3,0.8222,0.5833,0.2389,0.1924,0.1258,0.1626,1.469,enriched,"Descriptive difference. Pooled SD is variance-weighted with df; the standardised effect is omitted when it is undefined or zero. Not a significance test — with n=5 FGs no strong inference is drawn, and absence of a difference is never reported as equivalence."
fg2,tier1_subtheme_recall,_comparable_window,3,3,0.3333,0.381,-0.0476,0.2182,0.2182,0.2182,-0.218,demographics-only,"Descriptive difference. Pooled SD is variance-weighted with df; the standardised effect is omitted when it is undefined or zero. Not a significance test — with n=5 FGs no strong inference is drawn, and absence of a difference is never reported as equivalence."
fg2,tier1_matched_theme_precision,_comparable_window,3,3,0.6,0.6833,-0.0833,0.1732,0.1607,0.1671,-0.499,demographics-only,"Descriptive difference. Pooled SD is variance-weighted with df; the standardised effect is omitted when it is undefined or zero. Not a significance test — with n=5 FGs no strong inference is drawn, and absence of a difference is never reported as equivalence."
fg2,tier1_participant_reach,_comparable_window,3,3,0.75,0.5333,0.2167,0.15,0.1528,0.1514,1.431,enriched,"Descriptive difference. Pooled SD is variance-weighted with df; the standardised effect is omitted when it is undefined or zero. Not a significance test — with n=5 FGs no strong inference is drawn, and absence of a difference is never reported as equivalence."
fg3,tier1_subtheme_recall,_comparable_window,3,3,0.3667,0.1,0.2667,0.0577,0.0,0.0408,6.536,enriched,"Descriptive difference. Pooled SD is variance-weighted with df; the standardised effect is omitted when it is undefined or zero. Not a significance test — with n=5 FGs no strong inference is drawn, and absence of a difference is never reported as equivalence."
fg3,tier1_matched_theme_precision,_comparable_window,3,3,1.0,1.0,0.0,0.0,0.0,0.0,,tie,"Descriptive difference. Pooled SD is variance-weighted with df; the standardised effect is omitted when it is undefined or zero. Not a significance test — with n=5 FGs no strong inference is drawn, and absence of a difference is never reported as equivalence."
fg3,tier1_participant_reach,_comparable_window,3,3,0.7056,0.6,0.1056,0.0419,0.2,0.1445,0.731,enriched,"Descriptive difference. Pooled SD is variance-weighted with df; the standardised effect is omitted when it is undefined or zero. Not a significance test — with n=5 FGs no strong inference is drawn, and absence of a difference is never reported as equivalence."
fg4,tier1_subtheme_recall,_comparable_window,3,3,0.2778,0.0,0.2778,0.1924,0.0,0.1361,2.041,enriched,"Descriptive difference. Pooled SD is variance-weighted with df; the standardised effect is omitted when it is undefined or zero. Not a significance test — with n=5 FGs no strong inference is drawn, and absence of a difference is never reported as equivalence."
fg4,tier1_matched_theme_precision,_comparable_window,3,3,0.4222,0.0,0.4222,0.154,0.0,0.1089,3.877,enriched,"Descriptive difference. Pooled SD is variance-weighted with df; the standardised effect is omitted when it is undefined or zero. Not a significance test — with n=5 FGs no strong inference is drawn, and absence of a difference is never reported as equivalence."
fg4,tier1_participant_reach,_comparable_window,3,3,0.8296,1.0,-0.1704,0.2065,0.0,0.146,-1.167,demographics-only,"Descriptive difference. Pooled SD is variance-weighted with df; the standardised effect is omitted when it is undefined or zero. Not a significance test — with n=5 FGs no strong inference is drawn, and absence of a difference is never reported as equivalence."
fg5,tier1_subtheme_recall,_comparable_window,3,3,0.6,0.5333,0.0667,0.2,0.1155,0.1633,0.408,enriched,"Descriptive difference. Pooled SD is variance-weighted with df; the standardised effect is omitted when it is undefined or zero. Not a significance test — with n=5 FGs no strong inference is drawn, and absence of a difference is never reported as equivalence."
fg5,tier1_matched_theme_precision,_comparable_window,3,3,0.9167,0.8667,0.05,0.1443,0.2309,0.1926,0.26,enriched,"Descriptive difference. Pooled SD is variance-weighted with df; the standardised effect is omitted when it is undefined or zero. Not a significance test — with n=5 FGs no strong inference is drawn, and absence of a difference is never reported as equivalence."
fg5,tier1_participant_reach,_comparable_window,3,3,0.75,0.5528,0.1972,0.0625,0.0914,0.0783,2.519,enriched,"Descriptive difference. Pooled SD is variance-weighted with df; the standardised effect is omitted when it is undefined or zero. Not a significance test — with n=5 FGs no strong inference is drawn, and absence of a difference is never reported as equivalence."
