question,raw_theme_id,cluster_id
1,RT_40452568EB74,C4
1,RT_74059AFD2CD5,UNCERTAIN
1,RT_5E0F63B98F53,C4
1,RT_C90B256DCA4F,UNCERTAIN
1,RT_F4AFCC1E877C,C1
1,RT_29EED8CCB31A,C1
1,RT_BBDE6ADD6AFC,C5
1,RT_1BFD463E9074,C1
1,RT_D59F2432EA8D,C1
1,RT_59D8A63A4816,C6
1,RT_68ACB00DCE74,C3
1,RT_9A0E5931F272,UNCERTAIN
1,RT_B0A934D1FD62,C10
1,RT_C8564A9EEC69,UNCERTAIN
1,RT_8F752DCBEA8A,UNCERTAIN
1,RT_E0A4BE71208A,UNCERTAIN
1,RT_33412056F823,UNCERTAIN
1,RT_D62CBACBC57F,UNCERTAIN
1,RT_78354EB190F0,C7
1,RT_A1C46DF1AAE3,C6
1,RT_140E6FDA0337,UNCERTAIN
1,RT_77E016308586,UNCERTAIN
1,RT_558ABB8A85A3,C10
1,RT_4D2805C73FBB,C1
1,RT_A7630E81D539,C2
1,RT_7643BBF41657,C1
1,RT_15312ED66D3E,UNCERTAIN
1,RT_18E56CBA3212,C7
1,RT_ACAB180BAD6A,C9
1,RT_AD2E041FE45C,UNCERTAIN
1,RT_1EBC575A357D,C4
1,RT_1D6A6C5510E9,C2
1,RT_797D2D30D48E,C7
1,RT_B7CC86817DA9,UNCERTAIN
1,RT_66334CEFA158,C6
1,RT_AB6352B94B9A,UNCERTAIN
1,RT_A46533291B73,C2
1,RT_4A753BC805CE,C9
1,RT_A46DDA53D526,C5
1,RT_A3109DBE7B60,C1
1,RT_496F334B9AC7,UNCERTAIN
1,RT_F25FED0C5F18,C3
1,RT_0BA6404E1C33,C8
1,RT_FD5B095E98BD,C9
1,RT_96652F30202F,C8
1,RT_560822A0EBF4,C5
1,RT_3FF94C3AD9EC,C6
1,RT_9D4B90F2C9DD,C1
1,RT_D5426D0BFC4F,UNCERTAIN
1,RT_85DFD6E1D444,C1
1,RT_36778D237EE5,C2
2,RT_DBE288BF810F,UNCERTAIN
2,RT_5EE0206483CF,C1
2,RT_A85F0536533B,UNCERTAIN
2,RT_22B5B34F298A,C2
2,RT_C88E828AFFB8,C4
2,RT_841168ED0DAC,C3
2,RT_02A31711BFA5,C4
2,RT_BB5E0D8A80D4,UNCERTAIN
2,RT_868E97BA4F16,UNCERTAIN
2,RT_DE267D8C5009,UNCERTAIN
2,RT_81045D43BC1A,C6
2,RT_5F7EBA4B8409,C5
2,RT_E9EF5FBE5CD0,C7
2,RT_8A14EDC3F7AB,C6
2,RT_F9AB2482CF9C,C6
2,RT_28056085E3E7,C1
2,RT_3FCB426016D0,UNCERTAIN
2,RT_976C0871AFB0,C3
2,RT_D22FB1CA3734,UNCERTAIN
2,RT_B6F58A076360,C2
2,RT_73D51D4A6589,UNCERTAIN
2,RT_3B07C47B55A1,UNCERTAIN
2,RT_5FA04AA4A2DE,C1
2,RT_21C9B140D767,UNCERTAIN
2,RT_F9D9E33338AE,C2
2,RT_6CC15C4B41F3,C1
2,RT_CF362DDBD4DE,C2
2,RT_B8B64D493581,C1
2,RT_8787ADFE5BAB,UNCERTAIN
2,RT_BA2DCF100F15,UNCERTAIN
2,RT_F15DA63D4AB8,UNCERTAIN
2,RT_6F507D2FCC3D,C3
2,RT_AA52F98786F0,UNCERTAIN
2,RT_FDA56130F0E3,UNCERTAIN
2,RT_555EA8AB162F,UNCERTAIN
2,RT_0E456CB28BA4,C4
2,RT_AA7C56D47AD2,UNCERTAIN
2,RT_D53B0BEDF21A,UNCERTAIN
2,RT_2CA4E2F9FF67,C5
2,RT_6A9D838E8BE7,UNCERTAIN
2,RT_E6EAD8C89355,UNCERTAIN
2,RT_49AB95A64472,UNCERTAIN
2,RT_AFFAAFAE9082,UNCERTAIN
2,RT_27B50AFE5E8F,UNCERTAIN
2,RT_59D67BB37149,C3
2,RT_3C1EFB8A4468,UNCERTAIN
2,RT_11BEC7AB36E5,C1
2,RT_6B57B5C5306C,C5
2,RT_0DEFBB646DF3,UNCERTAIN
2,RT_F585A7713E3C,C7
2,RT_C1640729BE50,UNCERTAIN
2,RT_605C263689BA,UNCERTAIN
2,RT_F870E036A83E,UNCERTAIN
2,RT_3A1C975136F1,UNCERTAIN
3,RT_674C5C229037,UNCERTAIN
3,RT_807E41C123E6,UNCERTAIN
3,RT_B13D5037E828,UNCERTAIN
3,RT_E5F270C9FBF1,C2
3,RT_0D7B412A90CC,UNCERTAIN
3,RT_8639EBE239BE,UNCERTAIN
3,RT_7896A3E681B1,C1
3,RT_C4A8753FE989,UNCERTAIN
3,RT_0C3A15D92697,C4
3,RT_43868AD2DB7E,UNCERTAIN
3,RT_8D775802D555,C4
3,RT_B79F6814014F,UNCERTAIN
3,RT_B9D04AD5EFA3,C5
3,RT_3B7B118F4808,UNCERTAIN
3,RT_690D7024472B,C2
3,RT_55AE0B4C5D79,C2
3,RT_525CF9CB4F0C,UNCERTAIN
3,RT_451F57F7A487,UNCERTAIN
3,RT_57C4B0B5936A,UNCERTAIN
3,RT_F7C7B1A4CF77,C6
3,RT_ABFE34242F48,C4
3,RT_1F8B25783568,C7
3,RT_E62569EB24BB,UNCERTAIN
3,RT_E6C3C7A354BA,UNCERTAIN
3,RT_B5A256775DC8,C7
3,RT_794C17F27D97,UNCERTAIN
3,RT_409542EE93B5,UNCERTAIN
3,RT_CBE8D2D39E5F,C3
3,RT_3FD282E6E426,UNCERTAIN
3,RT_4E5BF59807AD,UNCERTAIN
3,RT_1EA4686CA5D7,C3
3,RT_834503D22C15,C3
3,RT_B324102EF35A,UNCERTAIN
3,RT_87A4BA5D6B25,UNCERTAIN
3,RT_FBC4505680CA,UNCERTAIN
3,RT_B96D1F4F51DD,UNCERTAIN
3,RT_238F500826D6,C1
3,RT_A5D9D154FD6C,C3
3,RT_1C4BF57BCD6C,UNCERTAIN
3,RT_0DDE8A17FF80,UNCERTAIN
3,RT_9117DEF27560,C4
3,RT_86D2821B31B9,C1
3,RT_F58194B2ED6F,C5
3,RT_3D45013B434C,UNCERTAIN
3,RT_DA9F6BB46C7D,UNCERTAIN
3,RT_2F8FD893A2EE,UNCERTAIN
3,RT_292985EEE21D,C5
3,RT_87B2F72B0C41,C6
3,RT_893BD2B9D7BE,UNCERTAIN
3,RT_860578FE3F9A,C1
3,RT_D1F4032B0B4F,C4
4,RT_89BF4354187D,C12
4,RT_031048B0121A,C2
4,RT_635EF46998D2,C4
4,RT_56A553A799F1,C9
4,RT_81712BF5169D,C13
4,RT_CEABE1B30291,C5
4,RT_7233C80F653D,C6
4,RT_2C60AFCB5875,C11
4,RT_DFDE9B3CA591,C1
4,RT_1D9B8D000A3D,UNCERTAIN
4,RT_C7092F7F0AD1,C3
4,RT_9EF02001F031,C1
4,RT_BA9506951710,C7
4,RT_193BCCA3381C,C10
4,RT_4B1EB6FA1D60,C4
4,RT_FA634BA42BEF,C5
4,RT_52C4B6B274DC,C1
