cluster_id,cluster_label,unit_id,coder_a,coder_b,raised_by_both,is_central_in_this_unit,n_rows_without_centrality,centrality_level
C01,THE SAFE CHOICE IS TO SETTLE FOR SOCIAL EXPECTATIONS,U01,1,1,1,NOT_ASSESSED,2,cluster_id x unit_id
C01,THE SAFE CHOICE IS TO SETTLE FOR SOCIAL EXPECTATIONS,U03,1,0,0,NOT_ASSESSED,2,cluster_id x unit_id
C01,THE SAFE CHOICE IS TO SETTLE FOR SOCIAL EXPECTATIONS,U05,1,1,1,NOT_ASSESSED,4,cluster_id x unit_id
C01,THE SAFE CHOICE IS TO SETTLE FOR SOCIAL EXPECTATIONS,U07,1,0,0,NOT_ASSESSED,1,cluster_id x unit_id
C02,STEPPING OUTSIDE THE NORM LEADS TO BEING QUESTIONED (AS A BACKLASH) OR A DEMAND TO REAFFIRM MASCULINITY,U01,1,1,1,NOT_ASSESSED,2,cluster_id x unit_id
C02,STEPPING OUTSIDE THE NORM LEADS TO BEING QUESTIONED (AS A BACKLASH) OR A DEMAND TO REAFFIRM MASCULINITY,U03,1,0,0,NOT_ASSESSED,1,cluster_id x unit_id
C02,STEPPING OUTSIDE THE NORM LEADS TO BEING QUESTIONED (AS A BACKLASH) OR A DEMAND TO REAFFIRM MASCULINITY,U05,1,0,0,NOT_ASSESSED,1,cluster_id x unit_id
C02,STEPPING OUTSIDE THE NORM LEADS TO BEING QUESTIONED (AS A BACKLASH) OR A DEMAND TO REAFFIRM MASCULINITY,U06,1,1,1,NOT_ASSESSED,4,cluster_id x unit_id
C02,STEPPING OUTSIDE THE NORM LEADS TO BEING QUESTIONED (AS A BACKLASH) OR A DEMAND TO REAFFIRM MASCULINITY,U07,1,0,0,NOT_ASSESSED,1,cluster_id x unit_id
C03,"EATING MEAT IS IRRELEVANT TO ONE'S IDENTITY, NOT GENDERED",U01,1,0,0,NOT_ASSESSED,1,cluster_id x unit_id
C03,"EATING MEAT IS IRRELEVANT TO ONE'S IDENTITY, NOT GENDERED",U02,1,0,0,NOT_ASSESSED,1,cluster_id x unit_id
