blinded_document_id,doc_key,subtheme_id,original_status,rep1_raw_verdict,rep2_raw_verdict,rep1_gate,rep2_gate,rep1_verdict_after_gate,rep2_verdict_after_gate,auditor_verdict,repetitions_agree,cross_model_outcome,rep1_turn_id,rep2_turn_id,is_designated_control,final_absence_label,label_downgraded,label_reason,union_speakers,intersection_speakers
DOC_044D944A54,human::fg3,A.1,ORIGINAL_GEMINI_PRESENT_QUOTE_VERIFIED,EVIDENCE_FOUND,EVIDENCE_FOUND,EVIDENCE_LOCALISED,EVIDENCE_LOCALISED,EVIDENCE_FOUND,EVIDENCE_FOUND,AUDITOR_EVIDENCE_FOUND,True,PRESENCE_CONCURRED,T038,T033,True,,,,P5,P5
DOC_044D944A54,human::fg3,A.2,ORIGINAL_GEMINI_PRESENT_QUOTE_VERIFIED,EVIDENCE_FOUND,EVIDENCE_FOUND,EVIDENCE_LOCALISED,EVIDENCE_LOCALISED,EVIDENCE_FOUND,EVIDENCE_FOUND,AUDITOR_EVIDENCE_FOUND,True,PRESENCE_CONCURRED,T029,T026,False,,,,P1|P3,
DOC_044D944A54,human::fg3,A.3,ORIGINAL_GEMINI_PRESENT_QUOTE_VERIFIED,EVIDENCE_FOUND,EVIDENCE_FOUND,EVIDENCE_LOCALISED,EVIDENCE_LOCALISED,EVIDENCE_FOUND,EVIDENCE_FOUND,AUDITOR_EVIDENCE_FOUND,True,PRESENCE_CONCURRED,T047,T025,False,,,,P2|P5,
DOC_044D944A54,human::fg3,B.1,ORIGINAL_GEMINI_ABSENCE,NO_EVIDENCE_FOUND,UNCERTAIN,,,NO_EVIDENCE_FOUND,UNCERTAIN,AUDITOR_UNRESOLVED,False,ABSENCE_UNRESOLVED,,T066,False,ABSENCE_UNRESOLVED,False,,,
DOC_044D944A54,human::fg3,B.2,ORIGINAL_GEMINI_PRESENT_QUOTE_VERIFIED,EVIDENCE_FOUND,EVIDENCE_FOUND,EVIDENCE_LOCALISED,EVIDENCE_LOCALISED,EVIDENCE_FOUND,EVIDENCE_FOUND,AUDITOR_EVIDENCE_FOUND,True,PRESENCE_CONCURRED,T035,T066,False,,,,P2|P5,
DOC_044D944A54,human::fg3,B.3,ORIGINAL_GEMINI_PRESENT_QUOTE_VERIFIED,EVIDENCE_FOUND,EVIDENCE_FOUND,EVIDENCE_LOCALISED,EVIDENCE_LOCALISED,EVIDENCE_FOUND,EVIDENCE_FOUND,AUDITOR_EVIDENCE_FOUND,True,PRESENCE_CONCURRED,T099,T099,True,,,,P5,P5
DOC_044D944A54,human::fg3,B.4,ORIGINAL_GEMINI_PRESENT_QUOTE_VERIFIED,EVIDENCE_FOUND,EVIDENCE_FOUND,EVIDENCE_LOCALISED,EVIDENCE_LOCALISED,EVIDENCE_FOUND,EVIDENCE_FOUND,AUDITOR_EVIDENCE_FOUND,True,PRESENCE_CONCURRED,T057,T057,False,,,,P1,P1
DOC_044D944A54,human::fg3,C.1,ORIGINAL_GEMINI_PRESENT_QUOTE_VERIFIED,EVIDENCE_FOUND,EVIDENCE_FOUND,EVIDENCE_LOCALISED,EVIDENCE_LOCALISED,EVIDENCE_FOUND,EVIDENCE_FOUND,AUDITOR_EVIDENCE_FOUND,True,PRESENCE_CONCURRED,T064,T064,False,,,,P5,P5
DOC_044D944A54,human::fg3,C.2,ORIGINAL_GEMINI_PRESENT_QUOTE_VERIFIED,EVIDENCE_FOUND,EVIDENCE_FOUND,EVIDENCE_LOCALISED,EVIDENCE_LOCALISED,EVIDENCE_FOUND,EVIDENCE_FOUND,AUDITOR_EVIDENCE_FOUND,True,PRESENCE_CONCURRED,T099,T102,True,,,,P1|P5,
DOC_044D944A54,human::fg3,C.3,ORIGINAL_GEMINI_PRESENT_QUOTE_VERIFIED,EVIDENCE_FOUND,EVIDENCE_FOUND,EVIDENCE_LOCALISED,EVIDENCE_LOCALISED,EVIDENCE_FOUND,EVIDENCE_FOUND,AUDITOR_EVIDENCE_FOUND,True,PRESENCE_CONCURRED,T063,T063,False,,,,P4,P4
