unit,side,fg,condition,completeness,sections_covered,sections_missing,section_labels_misaligned,n_participant_turns,notes
fg1,human,fg1,human,1.0,1|2|3|4|5,,False,58,
fg2,human,fg2,human,1.0,1|2|3|4|5,,False,28,
fg3,human,fg3,human,1.0,1|2|3|4|5,,False,98,
fg4,human,fg4,human,1.0,1|2|3|4|5,,False,39,
fg5,human,fg5,human,0.8,1|2|3|5,4,False,123,"Question numbering has gaps: [1, 2, 3, 5] — the missing question was not asked in this group and is reported as absent, not inferred.; guide section(s) [4] have no `Question N.` header in this transcript; their material, if present, is carried inside the preceding section"
macho_meals_fg1_run01,synthetic,fg1,enriched,1.0,1|2|3|4|5,,False,37,
macho_meals_fg1_run02,synthetic,fg1,enriched,1.0,1|2|3|4|5,,False,32,
macho_meals_fg1_run03,synthetic,fg1,enriched,1.0,1|2|3|4|5,,False,34,
macho_meals_fg2_run01,synthetic,fg2,enriched,1.0,1|2|3|4|5,,False,29,
macho_meals_fg2_run02,synthetic,fg2,enriched,1.0,1|2|3|4|5,,False,42,
macho_meals_fg2_run03,synthetic,fg2,enriched,1.0,1|2|3|4|5,,False,35,
macho_meals_fg3_run01,synthetic,fg3,enriched,1.0,1|2|3|4|5,,False,31,
macho_meals_fg3_run02,synthetic,fg3,enriched,1.0,1|2|3|4|5,,False,24,
macho_meals_fg3_run03,synthetic,fg3,enriched,1.0,1|2|3|4|5,,False,34,
macho_meals_fg4_run01,synthetic,fg4,enriched,1.0,1|2|3|4|5,,False,25,
macho_meals_fg4_run04,synthetic,fg4,enriched,1.0,1|2|3|4|5,,False,32,
macho_meals_fg4_run03,synthetic,fg4,enriched,1.0,1|2|3|4|5,,False,31,
macho_meals_fg5_run01,synthetic,fg5,enriched,1.0,1|2|3|4|5,,False,28,
macho_meals_fg5_run03,synthetic,fg5,enriched,1.0,1|2|3|4|5,,False,36,
macho_meals_fg5_run04,synthetic,fg5,enriched,1.0,1|2|3|4|5,,False,32,
macho_meals_fg1_demoonly_run01,synthetic,fg1,demographics-only,1.0,1|2|3|4|5,,True,51,"SECTION LABELS MISALIGNED: 8 participant turns inside the window are labelled guide section 0, i.e. question 1 was asked before the section-1 transition. Section labels do not name their guide question in this run; excluded from the section-indexed metric"
macho_meals_fg1_demoonly_run02,synthetic,fg1,demographics-only,1.0,1|2|3|4|5,,False,35,
macho_meals_fg1_demoonly_run03,synthetic,fg1,demographics-only,1.0,1|2|3|4|5,,False,39,
macho_meals_fg2_demoonly_run01,synthetic,fg2,demographics-only,1.0,1|2|3|4|5,,False,36,
macho_meals_fg2_demoonly_run02,synthetic,fg2,demographics-only,1.0,1|2|3|4|5,,False,38,
macho_meals_fg2_demoonly_run03,synthetic,fg2,demographics-only,1.0,1|2|3|4|5,,False,30,
macho_meals_fg3_demoonly_run01,synthetic,fg3,demographics-only,1.0,1|2|3|4|5,,False,27,
macho_meals_fg3_demoonly_run02,synthetic,fg3,demographics-only,1.0,1|2|3|4|5,,False,31,
macho_meals_fg3_demoonly_run03,synthetic,fg3,demographics-only,1.0,1|2|3|4|5,,False,48,
macho_meals_fg4_demoonly_run01,synthetic,fg4,demographics-only,1.0,1|2|3|4|5,,True,27,"SECTION LABELS MISALIGNED: 5 participant turns inside the window are labelled guide section 0, i.e. question 1 was asked before the section-1 transition. Section labels do not name their guide question in this run; excluded from the section-indexed metric"
macho_meals_fg4_demoonly_run02,synthetic,fg4,demographics-only,1.0,1|2|3|4|5,,False,26,
macho_meals_fg4_demoonly_run03,synthetic,fg4,demographics-only,1.0,1|2|3|4|5,,False,27,
macho_meals_fg5_demoonly_run01,synthetic,fg5,demographics-only,1.0,1|2|3|4|5,,False,30,
macho_meals_fg5_demoonly_run02,synthetic,fg5,demographics-only,1.0,1|2|3|4|5,,False,32,
macho_meals_fg5_demoonly_run03,synthetic,fg5,demographics-only,1.0,1|2|3|4|5,,False,25,
