physical_run,condition,fg,canonical_replication_index,namespace,human_present_n,synthetic_present_n,shared_n,tier1_subtheme_recall,tier1_matched_theme_precision,tier1_f1_secondary,tier1_theme_level_recall,tier1_theme_level_precision,tier1_participant_reach,tier1_salience_hierarchy,tier1_salience_hierarchy_n_shared,tier1_salience_hierarchy_n_excluded,tier1_salience_hierarchy_n_excluded_unverified,tier1_salience_hierarchy_n_excluded_reach_missing,tier1_salience_hierarchy_undefined_reason,length_ratio_synthetic_to_human,participants_n,reach_implementation_caveat,quote_verification_rate,code_preservation_rate,demoted_codes,window_words,window_participant_turns,window_moderator_turns,transcript_sha256,cache_key
macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,_comparable_window,10,1,1,0.1,1.0,0.1818,0.25,1.0,0.8,,1,0,0,0,fewer_than_2_shared_eligible_subthemes (n=1; 0 code(s) excluded as unverified or reach-missing),1.108,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,fef00722213e704c7c543188c927f731ec1ff2c8949d1282523a431836d2fed3,021b40d5105da093259827bc6733fca81df440e64839614002bf9985d80e128c
macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,_comparable_window,10,1,1,0.1,1.0,0.1818,0.25,1.0,0.4,,1,0,0,0,fewer_than_2_shared_eligible_subthemes (n=1; 0 code(s) excluded as unverified or reach-missing),1.7796,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,a2a5952c1ff318ce803b27c70306167f7bff65775d431f0346a040ee648ff764,0c188ea29415e1946a429e75f73c871bdcf177d832a38a2d3492d73627f04c24
macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,_comparable_window,10,1,1,0.1,1.0,0.1818,0.25,1.0,0.6,,1,0,0,0,fewer_than_2_shared_eligible_subthemes (n=1; 0 code(s) excluded as unverified or reach-missing),1.1339,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,93a20322ae455e3a26eb0da0c9b5e955425769946d1ceea99e76b4b4ffc255d0,1fc0d37f894dfc8cedc9d6911852077bcf5d78437a9041518c5acdb56a8773e0
macho_meals_fg3_run02,enriched,fg3,2,_comparable_window,10,3,3,0.3,1.0,0.4615,0.5,1.0,0.6667,,3,0,0,0,"reach_ranks_fully_tied — the Spearman denominator is 0, so no correlation exists",0.8165,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,edc8df5c197c5beb0d552b8d226929e493c3e1652e3726fd9e78622763104c92,2427d9d33c283f5256bc0e98725a0ade39e556477ba9d45ea286efea9e652e54
macho_meals_fg2_run01,enriched,fg2,1,_comparable_window,7,4,2,0.2857,0.5,0.3636,0.5,1.0,0.75,,2,0,0,0,"reach_ranks_fully_tied — the Spearman denominator is 0, so no correlation exists",2.0884,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,5ad57d9fa59331a425cf06fbfeb1d16b80a0dbc07ab05e250072322da74e6c28,373c40362fb2171e596cfdd89c51b25fed2cf9a7584be060811697786fdcb5fd
macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,_comparable_window,7,2,1,0.1429,0.5,0.2223,0.5,1.0,0.7,,1,0,0,0,fewer_than_2_shared_eligible_subthemes (n=1; 0 code(s) excluded as unverified or reach-missing),3.3253,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,a4ab58a1d9584fd5f94cd6a394ebfd87f704787753628b50f3dcda97decbfe53,3c1f26650be74bcee575ba5de1852536e4f1e1e5f275e23b4574bd830554faa0
macho_meals_fg4_run04,enriched,fg4,2,_comparable_window,6,5,3,0.5,0.6,0.5455,0.75,1.0,0.6,-1.0,3,0,0,0,,2.5523,3,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,0b3bf6f204628d95b55579f3f3bd9460564bf25d88ea4768f40601623127b9e0,3c1fa267a24c703728026ab25f5ea6744af1022165d0c049fd93d323b70b7a31
macho_meals_fg4_run03,enriched,fg4,3,_comparable_window,6,3,1,0.1667,0.3333,0.2222,0.5,1.0,1.0,,1,0,0,0,fewer_than_2_shared_eligible_subthemes (n=1; 0 code(s) excluded as unverified or reach-missing),2.2291,3,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,944d9f0fcf3db6c267bdae829ed8208c6a74a7070e5cfdb4b12482fd7255ee0c,488cc6d38dff92445bd06baa92240c0ab22ad9758bf694e6208c1c864a279824
macho_meals_fg4_demoonly_run01,demographics-only,fg4,1,_comparable_window,6,1,0,0.0,0.0,0.0,0.25,1.0,1.0,,0,0,0,0,fewer_than_2_shared_eligible_subthemes (n=0; 0 code(s) excluded as unverified or reach-missing),2.0779,3,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,06f822e83a75ceb952c56f981cbb024d170d1b445e8e179b7a5256c5b907b69f,48bac7e383304d43af7db97933a16586b4915d2b91d5b7ed385b37f6a8891c7b
macho_meals_fg2_run03,enriched,fg2,3,_comparable_window,7,2,1,0.1429,0.5,0.2223,0.5,1.0,0.9,,1,0,0,0,fewer_than_2_shared_eligible_subthemes (n=1; 0 code(s) excluded as unverified or reach-missing),2.9382,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,0.9,1.0,0,,,,6e2af29cdd259c55516845e8f8919497859a569734e5702b5092e747999836f9,52ee117a69edfb9c2f5b282f9c727c97d13f823abc411c9441714e62ef5b56a5
