cluster_id,cluster_label,n_units_present,units,raised_by,status
C01,THE SAFE CHOICE IS TO SETTLE FOR SOCIAL EXPECTATIONS,4,U01|U03|U05|U07,Coder_A|Coder_B,shared
C02,STEPPING OUTSIDE THE NORM LEADS TO BEING QUESTIONED (AS A BACKLASH) OR A DEMAND TO REAFFIRM MASCULINITY,5,U01|U03|U05|U06|U07,Coder_A|Coder_B,shared
C03,"EATING MEAT IS IRRELEVANT TO ONE'S IDENTITY, NOT GENDERED",3,U01|U02|U04,Coder_A,exclusive
C04,"EATING MEAT IS A HABIT, WHAT WAS COOKED AT HOME OR THE NORMAL THING TO DO",4,U01|U02|U03|U07,Coder_A|Coder_B,shared
C05,BEING A MAN IS TIED TO WHAT MOST MEN USUALLY DO,2,U01|U03,Coder_A|Coder_B,shared
C06,"THE PRESSURE TO CONFORM TO MASCULINE BEHAVIORS IS SUBTLE OR IMPLICIT, BUT EXISTS AND CARRIES CERTAIN EXPECTATIONS THAT ARE NORMALISED",5,U01|U03|U05|U06|U07,Coder_A|Coder_B,shared
C07,CONSIDERING THAT YOU EAT MEAT JUST BECAUSE YOU'RE A MAN IS NONSENSE,3,U01|U02|U05,Coder_B,exclusive
C08,EATING DECISIONS MAY BE BASED ON BODY OR HEALTH PERCEPTIONS OR PERSONAL BELIEFS,2,U02|U07,Coder_A|Coder_B,shared
C09,IT'S SIMPLER—JUST EAT WHAT YOU CRAVE,4,U02|U03|U04|U06,Coder_A|Coder_B,shared
C10,"GENDER CONNECTED TO SPECIFIC EATING TOPICS (EG. EATING DISORDERS, PORTION SIZES, SALADS, ETC.)",3,U02|U04|U05,Coder_A|Coder_B,shared
C11,MEN DON'T WORRY ABOUT FOOD,4,U03|U05|U06|U07,Coder_B,exclusive
C12,SOCIAL PRESSURE IS DIFFERENT FROM CITIES TO SAMLL TOWNS,1,U05,Coder_B,exclusive
C13,OPT TO IGNORE SOCIAL EXPECTATIONS,1,U07,Coder_A|Coder_B,shared
C14,THE PERSON WHO COOKS LEADS THE DECISIONS (EG. THE WIFE),1,U07,Coder_B,exclusive
C15,AVAILABILITY OF OPTIONS IS IMPORTANT,1,U07,Coder_A|Coder_B,shared
C16,WOMEN ARE MORE JUDGED AND HAVE TO EXPLAIN THEMSELVES WAY MORE THAN MEN WHEN IT COMES TO THEIR FOOD CHOICES,1,U06,Coder_A,exclusive
