fg,condition,run,transcript_sha256,turn_id,speaker_masked,is_participant,prev_speaker_is_participant,n_words,n_clauses,label,evidence_quote,target_turn_id,evidence_verified,chunk_index
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T001,Speaker A,True,False,38,4,neutral_elaboration,there's a really nice property called Old Town House,,ok,0
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T003,Speaker A,True,False,57,9,neutral_elaboration,It's a pub. It's on like a rooftop,,ok,0
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T004,Speaker B,True,True,54,10,neutral_elaboration,there's a place called the Goody Goose,,ok,0
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T005,Speaker A,True,True,10,1,agreement,"Just the, just the classics, cheap food",T004,ok,0
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T006,Speaker B,True,True,3,1,agreement,"Yeah, basically, yeah.",T005,ok,0
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T007,Speaker C,True,True,50,4,neutral_elaboration,we'll go to parks and,,ok,0
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T008,Speaker A,True,True,10,1,agreement,It just kind of depends what everyone's feeling,T007,ok,0
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T009,Speaker C,True,True,10,2,agreement,"Yeah, that's just depending on",T008,ok,0
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T010,Speaker D,True,True,15,2,NONE,,,no_code:procedural,0
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T011,Speaker E,True,True,6,1,NONE,,,no_code:procedural,0
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T012,Speaker D,True,True,60,8,neutral_elaboration,my favourite place in the city is a place called Driving Simulator,,ok,0
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T013,Speaker E,True,True,39,4,neutral_elaboration,"my favourite place in the city is, um, Old Trafford",,ok,0
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T015,Speaker A,True,False,64,5,neutral_elaboration,kind of just depends what we're all feeling,,ok,1
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T016,Speaker B,True,True,101,10,neutral_elaboration,Typically how I decide what to eat is normally depending on where we're going,,ok,1
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T017,Speaker A,True,True,39,3,agreement,I guess like when it comes to stuff like that,T016,ok,1
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T018,Speaker B,True,True,1,1,NONE,,,no_code:other,1
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T019,Speaker C,True,True,76,8,neutral_elaboration,We don't really decide what we'll eat like that,,ok,1
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T020,Speaker A,True,True,3,1,agreement,"Yeah, makes sense.",T019,ok,1
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T021,Speaker D,True,True,40,6,neutral_elaboration,I'll just elaborate on what I said,,ok,1
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T023,Speaker C,True,False,58,3,neutral_elaboration,there's not really an influence to the agenda like that,,ok,1
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T026,Speaker A,True,True,74,6,agreement,"I don't think I've ever made a decision on where to eat on like, any influences, like gender-wise",T023,ok,1
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T027,Speaker E,True,True,72,8,neutral_elaboration,We barely decide what to eat,,ok,1
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T024,Speaker A,True,True,4,1,MISSING_FROM_RESPONSE,,,SCHEMA_FAIL:turn_not_returned,1
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T025,Speaker C,True,True,15,1,MISSING_FROM_RESPONSE,,,SCHEMA_FAIL:turn_not_returned,1
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T028,Speaker A,True,True,10,1,NONE,,,no_code:procedural,2
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T029,Speaker E,True,True,83,9,neutral_elaboration,"basically I do think gender does, because as a male, I guess there are certain things I am meant to take",,ok,2
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T030,Speaker D,True,True,53,6,neutral_elaboration,I don't think gender influences what I eat,,ok,2
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T031,Speaker B,True,True,93,7,agreement,"yeah, I think if you're with your (.), if you're with, um, your male friends, then if you're out, you do feel like you do need to eat more",T030,ok,2
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T033,Speaker A,True,False,86,8,neutral_elaboration,"probably need to change a lot, like completely change like what recipes we know",,ok,2
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T034,Speaker D,True,True,7,1,NONE,,,no_code:procedural,2
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T035,Speaker A,True,True,3,1,NONE,,,no_code:procedural,2
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T036,Speaker D,True,True,60,5,neutral_elaboration,"I think my whole, like, diet would have to change because, um, I'm quite fond of the gym",,ok,2
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T037,Speaker C,True,True,105,9,agreement,"Yeah, uh, imagine if you, imagine if you decided to go plant based. [unintelligible] decide to go plant based now. It's going to really, a lot of things have to change.",T036,ok,2
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T038,Speaker E,True,True,113,15,neutral_elaboration,I would have to get more education and enlightenment concerning plant based. I would also have to change my friends.,,ok,2
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T039,Speaker B,True,True,78,6,neutral_elaboration,"I'm not keen on the fake products, like the fake sausages, the fake bacon, any of that, because it’s just...",,ok,2
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T040,Speaker A,True,True,3,1,agreement,The important stuff.,T039,ok,2
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T041,Speaker B,True,True,192,18,agreement,"yeah, it's just not the same thing.",T040,ok,3
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T041,Speaker B,True,True,192,18,neutral_elaboration,"I suppose like, I have, like, risotto, and risotto you can have with different stuff",,ok,3
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T042,Speaker A,True,True,12,2,agreement,"It's just a bit bland, innit, sometimes? It just doesn't taste right.",T041,ok,3
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T043,Speaker B,True,True,34,6,disagreement,"I've tried, like, the fake doner meat, I've had that. It's pretty good.",T042,ok,3
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T044,Speaker A,True,True,20,2,neutral_elaboration,"Certainly like, in Scotland, it's like a proper culture, like eating meat as well, though.",,ok,3
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T045,Speaker B,True,True,17,4,agreement,"Yeah, I know, like pies, like mince pies and steak pies and all that.",T044,ok,3
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T047,Speaker A,True,False,140,12,neutral_elaboration,taste is the biggest one and then price is gonna be the second.,,ok,3
fg1,human,fg1_human,beae7ee5b433aca8b336ec12a02f3f7420d6dd416168aeefbc11368cf99d312f,T048,Speaker D,True,True,119,11,neutral_elaboration,it turns you away from buying it because I don't really know what I'm putting inside my body.,,ok,3
