doc_key,blinded_document_id,subtheme_id,subtheme_label,side,condition,fg,canonical_replication_index,physical_run
human::fg1,DOC_87E9A953B6,A.3,"No influence, but...",human,human,fg1,,
human::fg1,DOC_87E9A953B6,C.2,Insufficient,human,human,fg1,,
human::fg1,DOC_87E9A953B6,D,D) Extreme cases,human,human,fg1,,
human::fg2,DOC_C71426C1B1,A.1,Does influence,human,human,fg2,,
human::fg2,DOC_C71426C1B1,B.1,Natural,human,human,fg2,,
human::fg2,DOC_C71426C1B1,B.3,Necessary,human,human,fg2,,
human::fg2,DOC_C71426C1B1,C.2,Insufficient,human,human,fg2,,
human::fg3,DOC_044D944A54,B.1,Natural,human,human,fg3,,
human::fg4,DOC_DC66FA1DAE,A.1,Does influence,human,human,fg4,,
human::fg4,DOC_DC66FA1DAE,A.3,"No influence, but...",human,human,fg4,,
human::fg4,DOC_DC66FA1DAE,B.1,Natural,human,human,fg4,,
human::fg4,DOC_DC66FA1DAE,B.2,Normal,human,human,fg4,,
human::fg4,DOC_DC66FA1DAE,C.2,Insufficient,human,human,fg4,,
human::fg5,DOC_5E8E19FE05,A.2,No influence,human,human,fg5,,
human::fg5,DOC_5E8E19FE05,A.3,"No influence, but...",human,human,fg5,,
human::fg5,DOC_5E8E19FE05,B.1,Natural,human,human,fg5,,
human::fg5,DOC_5E8E19FE05,C.1,Unnatural,human,human,fg5,,
human::fg5,DOC_5E8E19FE05,C.2,Insufficient,human,human,fg5,,
human::fg5,DOC_5E8E19FE05,D,D) Extreme cases,human,human,fg5,,
macho_meals_fg1_demoonly_run01,DOC_DB7286F644,A.2,No influence,synthetic,demographics-only,fg1,1,macho_meals_fg1_demoonly_run01
macho_meals_fg1_demoonly_run01,DOC_DB7286F644,A.3,"No influence, but...",synthetic,demographics-only,fg1,1,macho_meals_fg1_demoonly_run01
macho_meals_fg1_demoonly_run01,DOC_DB7286F644,B.1,Natural,synthetic,demographics-only,fg1,1,macho_meals_fg1_demoonly_run01
macho_meals_fg1_demoonly_run01,DOC_DB7286F644,B.3,Necessary,synthetic,demographics-only,fg1,1,macho_meals_fg1_demoonly_run01
macho_meals_fg1_demoonly_run01,DOC_DB7286F644,B.4,Nice,synthetic,demographics-only,fg1,1,macho_meals_fg1_demoonly_run01
macho_meals_fg1_demoonly_run01,DOC_DB7286F644,C.1,Unnatural,synthetic,demographics-only,fg1,1,macho_meals_fg1_demoonly_run01
macho_meals_fg1_demoonly_run01,DOC_DB7286F644,C.2,Insufficient,synthetic,demographics-only,fg1,1,macho_meals_fg1_demoonly_run01
macho_meals_fg1_demoonly_run01,DOC_DB7286F644,C.3,Not nice,synthetic,demographics-only,fg1,1,macho_meals_fg1_demoonly_run01
macho_meals_fg1_demoonly_run01,DOC_DB7286F644,D,D) Extreme cases,synthetic,demographics-only,fg1,1,macho_meals_fg1_demoonly_run01
macho_meals_fg1_demoonly_run02,DOC_6F95E07A1D,A.2,No influence,synthetic,demographics-only,fg1,2,macho_meals_fg1_demoonly_run02
macho_meals_fg1_demoonly_run02,DOC_6F95E07A1D,A.3,"No influence, but...",synthetic,demographics-only,fg1,2,macho_meals_fg1_demoonly_run02
macho_meals_fg1_demoonly_run02,DOC_6F95E07A1D,B.1,Natural,synthetic,demographics-only,fg1,2,macho_meals_fg1_demoonly_run02
macho_meals_fg1_demoonly_run02,DOC_6F95E07A1D,B.3,Necessary,synthetic,demographics-only,fg1,2,macho_meals_fg1_demoonly_run02
macho_meals_fg1_demoonly_run02,DOC_6F95E07A1D,C.1,Unnatural,synthetic,demographics-only,fg1,2,macho_meals_fg1_demoonly_run02
macho_meals_fg1_demoonly_run02,DOC_6F95E07A1D,C.2,Insufficient,synthetic,demographics-only,fg1,2,macho_meals_fg1_demoonly_run02
macho_meals_fg1_demoonly_run02,DOC_6F95E07A1D,D,D) Extreme cases,synthetic,demographics-only,fg1,2,macho_meals_fg1_demoonly_run02
macho_meals_fg1_demoonly_run03,DOC_9E002A7AA2,A.2,No influence,synthetic,demographics-only,fg1,3,macho_meals_fg1_demoonly_run03
macho_meals_fg1_demoonly_run03,DOC_9E002A7AA2,A.3,"No influence, but...",synthetic,demographics-only,fg1,3,macho_meals_fg1_demoonly_run03
macho_meals_fg1_demoonly_run03,DOC_9E002A7AA2,B.1,Natural,synthetic,demographics-only,fg1,3,macho_meals_fg1_demoonly_run03
macho_meals_fg1_demoonly_run03,DOC_9E002A7AA2,B.3,Necessary,synthetic,demographics-only,fg1,3,macho_meals_fg1_demoonly_run03
macho_meals_fg1_demoonly_run03,DOC_9E002A7AA2,B.4,Nice,synthetic,demographics-only,fg1,3,macho_meals_fg1_demoonly_run03
macho_meals_fg1_demoonly_run03,DOC_9E002A7AA2,C.1,Unnatural,synthetic,demographics-only,fg1,3,macho_meals_fg1_demoonly_run03
macho_meals_fg1_demoonly_run03,DOC_9E002A7AA2,C.2,Insufficient,synthetic,demographics-only,fg1,3,macho_meals_fg1_demoonly_run03
macho_meals_fg1_demoonly_run03,DOC_9E002A7AA2,C.3,Not nice,synthetic,demographics-only,fg1,3,macho_meals_fg1_demoonly_run03
macho_meals_fg1_demoonly_run03,DOC_9E002A7AA2,D,D) Extreme cases,synthetic,demographics-only,fg1,3,macho_meals_fg1_demoonly_run03
macho_meals_fg1_run01,DOC_4DA8BC4582,A.2,No influence,synthetic,enriched,fg1,1,macho_meals_fg1_run01
macho_meals_fg1_run01,DOC_4DA8BC4582,A.3,"No influence, but...",synthetic,enriched,fg1,1,macho_meals_fg1_run01
macho_meals_fg1_run01,DOC_4DA8BC4582,B.1,Natural,synthetic,enriched,fg1,1,macho_meals_fg1_run01
macho_meals_fg1_run01,DOC_4DA8BC4582,B.3,Necessary,synthetic,enriched,fg1,1,macho_meals_fg1_run01
macho_meals_fg1_run01,DOC_4DA8BC4582,C.1,Unnatural,synthetic,enriched,fg1,1,macho_meals_fg1_run01
macho_meals_fg1_run01,DOC_4DA8BC4582,C.2,Insufficient,synthetic,enriched,fg1,1,macho_meals_fg1_run01
macho_meals_fg1_run01,DOC_4DA8BC4582,C.3,Not nice,synthetic,enriched,fg1,1,macho_meals_fg1_run01
macho_meals_fg1_run01,DOC_4DA8BC4582,D,D) Extreme cases,synthetic,enriched,fg1,1,macho_meals_fg1_run01
macho_meals_fg1_run02,DOC_7CB3BED8F8,A.2,No influence,synthetic,enriched,fg1,2,macho_meals_fg1_run02
macho_meals_fg1_run02,DOC_7CB3BED8F8,A.3,"No influence, but...",synthetic,enriched,fg1,2,macho_meals_fg1_run02
macho_meals_fg1_run02,DOC_7CB3BED8F8,B.1,Natural,synthetic,enriched,fg1,2,macho_meals_fg1_run02
macho_meals_fg1_run02,DOC_7CB3BED8F8,B.3,Necessary,synthetic,enriched,fg1,2,macho_meals_fg1_run02
macho_meals_fg1_run02,DOC_7CB3BED8F8,C.1,Unnatural,synthetic,enriched,fg1,2,macho_meals_fg1_run02
macho_meals_fg1_run02,DOC_7CB3BED8F8,C.2,Insufficient,synthetic,enriched,fg1,2,macho_meals_fg1_run02
