metric_id,tier,category,evidence_class,namespace,unit_of_analysis,definition,numerator,denominator,aggregation,notes_and_caveats
tier1_subtheme_recall,Tier 1,primary,AUTOMATIC_VALIDATED,_comparable_window,focus group,Proportion of quote-verified subthemes present in the human transcript that are also present in the paired synthetic window,count of subtheme_ids with present=true and quote_verified=true in BOTH human and synthetic,count of subtheme_ids with present=true and quote_verified=true in the HUMAN transcript,per run -> per FG x condition (mean/median/SD/min-max) -> per study replicate,Never reported without precision. Denominator is the human present-set for that FG and varies by FG; report it alongside every value.
tier1_matched_theme_precision,Tier 1,primary,AUTOMATIC_VALIDATED,_comparable_window,focus group,Proportion of quote-verified subthemes present in the synthetic window that are also present in the paired human transcript,count of subtheme_ids present and quote_verified in BOTH,count of subtheme_ids present and quote_verified in the SYNTHETIC window,per run -> per FG x condition -> per study replicate,Never reported without recall. Sensitive to synthetic length: longer windows can raise the denominator.
tier1_f1,Tier 1,secondary (complementary),AUTOMATIC_VALIDATED,_comparable_window,focus group,Harmonic mean of tier1_subtheme_recall and tier1_matched_theme_precision,2*recall*precision,recall+precision,per run -> per FG x condition -> per study replicate,RECLASSIFIED FROM PRIMARY TO SECONDARY/COMPLEMENTARY. Recall and precision are reported separately and ahead of F1. F1 must never substitute for them nor be a headline number.
tier1_theme_level_recall,Tier 1,secondary,AUTOMATIC_DIAGNOSTIC,_comparable_window,focus group,Recall computed at parent-theme letter rather than subtheme,shared parent-theme letters,human parent-theme letters,per run -> per FG x condition,Easier than subtheme level by construction; the gap between the two is the informative quantity.
tier1_theme_level_precision,Tier 1,secondary,AUTOMATIC_DIAGNOSTIC,_comparable_window,focus group,Precision computed at parent-theme letter,shared parent-theme letters,synthetic parent-theme letters,per run -> per FG x condition,See above.
tier1_participant_reach,Tier 1,primary,AUTOMATIC_VALIDATED,_comparable_window,focus group,Evidence-constrained breadth: distinct participants with at least one VERIFIED quote for a subtheme divided by participants in that transcript,distinct non-moderator speakers with >=1 verified quote for the subtheme,total participants in that transcript,per subtheme -> mean across present subthemes -> per FG x condition,IMPLEMENTATION CAVEAT (mandatory wherever reported): 14 canonical enriched runs executed the pre-fix engagement path where an invalid engagement assessment forced a technical silence. Reach depends on who spoke.
tier1_salience_hierarchy,Tier 1,secondary,LEGACY_SHARED-ONLY_AUTOMATIC_DIAGNOSTIC,_comparable_window,focus group,Spearman rank correlation between human and synthetic reach vectors over subthemes present in both,-,shared present subthemes (report n),per FG x condition,"Undefined with fewer than 2 shared subthemes; report n/a rather than 0. | RECLASSIFIED: Spearman over shared-present subthemes only, so synthetic omissions are dropped and it is undefined in 14/30 sessions. Retained as a diagnostic, never a primary result. Superseded for reporting by PARTICIPANT_BREADTH_AND_RECURRENCE_HIERARCHY_SIMILARITY (final/SALIENCE_HIERARCHY_REPORT.md)."
words_per_turn_median,structural,secondary,AUTOMATIC_VALIDATED,_comparable_window,turn,Median words per participant turn,-,participant turns in the window,per run -> per FG x condition,Report with IQR and the full distribution; never the mean alone.
words_per_turn_iqr,structural,secondary,AUTOMATIC_VALIDATED,_comparable_window,turn,Interquartile range of words per participant turn,-,participant turns in the window,per run -> per FG x condition,
short_turn_proportion_25w,structural,secondary,AUTOMATIC_VALIDATED,_comparable_window,turn,Proportion of participant turns below the pre-specified 25-word short-turn threshold,participant turns with <25 words,participant turns in the window,per run -> per FG x condition,PRIMARY DESCRIPTIVE THRESHOLD fixed at 25 words before any scoring. Always accompanied by the full words-per-turn distribution plus median and IQR.
short_turn_proportion_10w,structural,secondary,AUTOMATIC_DIAGNOSTIC,_comparable_window,turn,Sensitivity variant of short_turn_proportion at 10 words,participant turns with <10 words,participant turns in the window,per run -> per FG x condition,Sensitivity threshold; pure arithmetic on the same turn list so no extra cost.
short_turn_proportion_50w,structural,secondary,AUTOMATIC_DIAGNOSTIC,_comparable_window,turn,Sensitivity variant of short_turn_proportion at 50 words,participant turns with <50 words,participant turns in the window,per run -> per FG x condition,Sensitivity threshold; pure arithmetic on the same turn list so no extra cost.
turn_balance_gini,structural,secondary,AUTOMATIC_VALIDATED,_comparable_window,focus group,Gini coefficient of turn counts across participants,-,participant turns in the window,per run -> per FG x condition,Also report the raw per-participant turn vector.
word_balance_gini,structural,secondary,AUTOMATIC_VALIDATED,_comparable_window,focus group,Gini coefficient of word counts across participants,-,participant words in the window,per run -> per FG x condition,Also report the raw per-participant word vector.
moderator_turn_share,structural,secondary,AUTOMATIC_VALIDATED,_comparable_window,focus group,Share of turns taken by the moderator,moderator turns,all turns in the window,per run -> per FG x condition,Affected by the sub-entry boundary: the dropped prefix removes moderator words only. Prefix words are recorded per run in comparable_window_audit.csv.
moderator_word_share,structural,secondary,AUTOMATIC_VALIDATED,_comparable_window,focus group,Share of words spoken by the moderator,moderator words,all words in the window,per run -> per FG x condition,See above.
participant_participant_adjacency,interaction,secondary,AUTOMATIC_VALIDATED,_comparable_window,turn transition,Proportion of turn transitions that go participant -> participant rather than through the moderator,participant->participant transitions,all turn transitions in the window,per run -> per FG x condition,
reference_density,interaction,secondary,AUTOMATIC_DIAGNOSTIC,_comparable_window,turn,Rate at which participant turns explicitly reference another named participant,participant turns containing a co-participant name reference,participant turns in the window,per run -> per FG x condition,Name matching uses the run roster; human transcripts use their own pseudonyms.
chain_depth,interaction,secondary,AUTOMATIC_VALIDATED,_comparable_window,chain,Length of consecutive participant->participant runs without moderator intervention,-,number of chains in the window,per run -> per FG x condition,Report the distribution and the maximum; not only the mean.
agreement,interpretive,secondary,NOT_IN_REPORTED_INSTRUMENT,_comparable_window,turn,Participant turn expresses agreement with a prior participant turn,coded turns,participant turns in the window,per run -> per FG x condition,"Not part of the reported instrument. The reported benchmark measures this construct with a deterministic, automatic producer that scales to any corpus without a coding exercise. Participant-to-participant response acts are produced by scripts/consensus_dynamics_events.py under a frozen, hash-anchored contrastive-marker dictionary (analysis/production_evaluation/consensus_dynamics/). This LLM-coded turn-level operationalisation was designed and not adopted."
disagreement,interpretive,secondary,NOT_IN_REPORTED_INSTRUMENT,_comparable_window,turn,Participant turn expresses disagreement with a prior participant turn,coded turns,participant turns in the window,per run -> per FG x condition,"Not part of the reported instrument. As agreement: the reported measure of participant-to-participant stance is the frozen-dictionary response-act count in consensus_dynamics/, plus the intra-turn dispersion measure. This LLM-coded operationalisation was designed and not adopted."
challenge,interpretive,secondary,NOT_IN_REPORTED_INSTRUMENT,_comparable_window,turn,Participant turn challenges or presses another participant,coded turns,participant turns in the window,per run -> per FG x condition,Not part of the reported instrument. As agreement. This LLM-coded operationalisation was designed and not adopted.
neutral_elaboration,interpretive,secondary,NOT_IN_REPORTED_INSTRUMENT,_comparable_window,turn,Participant turn elaborates without agreeing or disagreeing,coded turns,participant turns in the window,per run -> per FG x condition,Not part of the reported instrument. As agreement. This LLM-coded operationalisation was designed and not adopted.
specificity,interpretive,secondary,REPORTED_VIA_AUTOMATIC_PRODUCER,_comparable_window,turn,Participant turn contains concrete detail (named place/time/behaviour) rather than generality,coded turns,participant turns in the window,per run -> per FG x condition,"REPORTED. The adopted operationalisation is contextual-reference density per 100 participant words, produced by scripts/consensus_specificity_gliner.py under a frozen entity-type specification (consensus_dynamics/specificity_gliner_spec.json), with stated-origin geography excluded across all conditions (consensus_dynamics/SPECIFICITY_PLACE_CORRECTED.md). An LLM-coded per-turn variant was designed and not adopted; the automatic producer is deterministic and transfers to any corpus."
substantive_vs_superficial_elaboration,interpretive,secondary,NOT_IN_REPORTED_INSTRUMENT,_comparable_window,turn,Elaboration adds new content rather than restating,turns coded substantive,turns coded as elaboration,per run -> per FG x condition,"Not part of the reported instrument. The reported benchmark measures this construct with a deterministic, automatic producer that scales to any corpus without a coding exercise. Elaboration depth is approached structurally through chain_depth and participant_participant_adjacency. This LLM-coded qualifier was designed and not adopted."
profile_continuity_group,interpretive,secondary,NOT_IN_REPORTED_INSTRUMENT,_comparable_window,focus group,Group-level consistency of expressed stances across the window,-,participants in the window,per run -> per FG x condition,"Not part of the reported instrument. GROUP LEVEL ONLY; no individual persona-fidelity claim is made anywhere in this study. Agent-level fidelity is reported through the automatic stylometric indicators (attribution lift and lexical distinctiveness, scripts/agent_fidelity_stylometry.py)."
profile_consistency_group,interpretive,secondary,NOT_IN_REPORTED_INSTRUMENT,_comparable_window,focus group,Absence of self-contradiction at group level across the window,-,participants in the window,per run -> per FG x condition,Not part of the reported instrument. GROUP LEVEL ONLY. As profile_continuity_group.
hyper_exactness,interpretive,secondary,NOT_IN_REPORTED_INSTRUMENT,_comparable_window,turn,Turn displays implausibly precise recall (exact figures/dates) relative to natural speech,coded turns,participant turns in the window,per run -> per FG x condition,Not part of the reported instrument. A synthetic-artefact detector with no human baseline expectation of zero. A descriptive numeral-density proxy is reported in final/lexical_analysis.json under its own name and never under this one.
length_ratio_synthetic_to_human,structural,secondary,AUTOMATIC_DIAGNOSTIC,_comparable_window,focus group,Ratio of synthetic window words to the paired human transcript words,synthetic window total words,paired human transcript total words,per run -> per FG x condition,REPORTED FOR BOTH ARMS: enriched/human AND demographics-only/human. Observed enriched/human 1.1x-3.0x across FGs.
tier1_coverage_by_word_count_curve,Tier 1,secondary,AUTOMATIC_DIAGNOSTIC,_comparable_window,focus group,Cumulative distinct quote-verified subthemes as a function of words consumed from the start of the window,distinct subthemes reached,words consumed,per run -> per FG x condition,D2 DIAGNOSTIC. Deterministic and fully reproducible - no sampling. Shows whether synthetic advantage is a length artefact.
tier1_length_matched_recall,Tier 1,secondary,DEFERRED_NOT_IMPLEMENTED,_comparable_window,focus group,tier1_subtheme_recall recomputed on repeated pre-specified length-matched excerpts truncated to the paired human word count,matched subthemes in the excerpt,human present subthemes,mean and SD over K pre-specified excerpts -> per FG x condition,"DEFERRED 2026-07-30. Requires each of the K=10 excerpts to be CODED INDEPENDENTLY (~300 further evaluator calls), which is not scheduled. NOT approximated by the offline proxy: see evidence_localized_length_matched_recall/_precision, a different estimand. Original D2 decision unchanged; see frozen_evaluation_spec.md Amendment A1 (2026-07-30)."
tier1_length_matched_precision,Tier 1,secondary,DEFERRED_NOT_IMPLEMENTED,_comparable_window,focus group,tier1_matched_theme_precision recomputed on the same length-matched excerpts,matched subthemes in the excerpt,subthemes present in the excerpt,mean and SD over K pre-specified excerpts -> per FG x condition,"DEFERRED 2026-07-30. Requires each of the K=10 excerpts to be CODED INDEPENDENTLY (~300 further evaluator calls), which is not scheduled. NOT approximated by the offline proxy: see evidence_localized_length_matched_recall/_precision, a different estimand. Original D2 decision unchanged; see frozen_evaluation_spec.md Amendment A1 (2026-07-30)."
