physical_run,state_crosscheck_agree,state_crosscheck_boundary_diffs,state_crosscheck_conflicts,total_source_words,total_source_entries,roster_names,source_entry_index,source_entry_turn,source_character_start,boundary_entry_section,original_boundary_entry_chars,original_boundary_entry_words,retained_boundary_text_chars,retained_boundary_text_words,original_boundary_entry_sha256,retained_boundary_text_sha256,boundary_review_status,boundary_review_note,retained_residue_classes,retained_poses_q1,q1_distinctive_tokens_in_retained,verbatim_slice_verified,closing_boundary_overlap,closing_boundary_is_moderator,q1_boundary_overlap,validation_flags,source_transcript_sha256,comparable_transcript_sha256,comparable_transcript_path,first_included_entry_index,last_included_entry_index,first_included_turn,last_included_turn,included_sections,excluded_sections,included_entries,included_participant_turns,included_moderator_turns,included_words,excluded_pre_q1_entries,excluded_pre_q1_words,excluded_boundary_prefix_words,excluded_closing_entries,excluded_closing_words,segmentation_verdict,problems
macho_meals_fg1_run01,66,6,0,11433,72,Amir|David|Ibrahim|Isaiah|Will,8,7,127,1,364,64,237,44,1578add70df4bc4832f82c5f3f2cfc829b0df61fa3a698dea9c81d567940c189,c08ca6fd226d8ec2052baaa25dfc81dee1b7545ba363b5bf141e0aa7a583e9d1,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 162, extended back 1 sentence(s) to char 127; dropped 127 leading chars (20 words) carrying: participant_name(Ibrahim); welcome; presentation_summary_propernouns(Great,Ibrahim,Glasgow,Birmingham); presentation_summary(spread)",none,True,6/7,True,0.688,True,0.889,none,92f648dc06db1824f5ea4562441510cedc49984cf4a6481749b0564d4d9b4ea2,43ebff26d04867f0552723313779e03a56fa7f377e2295267ff0929a2814ce97,analysis\production_evaluation\comparable_transcripts\macho_meals_fg1_run01\comparable_transcript.json,8,62,7,44,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,55,37,18,9479,8,639,20,9,1315,OK,
macho_meals_fg1_run02,51,6,0,8653,57,Amir|David|Ibrahim|Isaiah|Will,7,6,40,1,329,64,289,56,b0157c51e2f4ee5e3394ab7006340c8401f01c2f712a653af7f3ed2f0b7c935e,21a1ed8bd1b6e3932f968bed8d4aecdcf243da335cb4566786b6511c584e83dd,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 65, extended back 1 sentence(s) to char 40; dropped 40 leading chars (8 words) carrying: pre-ask framing / presentation round",none,True,5/7,True,0.688,True,0.667,none,3a408cb2fb8b36829a6aba297387ef2b8acba86c8f39a1ac111c2279015c615e,a9558195b7692927fc500d58be26feb7d4f8915cf7e19b2f9d6dd7b8f3943702,analysis\production_evaluation\comparable_transcripts\macho_meals_fg1_run02\comparable_transcript.json,7,53,6,38,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,47,32,15,7880,7,306,8,3,467,OK,
macho_meals_fg1_run03,53,6,0,9985,59,Amir|David|Ibrahim|Isaiah|Will,6,6,71,1,348,66,277,53,5322d04f904737e18cfebcfa12e99cb8d0d5185c6b2b0a335f3a3cedebf47bb5,53c50e830d4abd0665446698a5fc113e59f86f1e16852c3e732e2159f3201755,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 203, extended back 2 sentence(s) to char 71; dropped 71 leading chars (13 words) carrying: participant_name(Amir,David,Ibrahim,Isaiah,Will); welcome; presentation_summary_propernouns(Great,Isaiah,Will,Ibrahim)",none,True,6/7,True,0.75,True,1.0,none,180cf92d887ffa752b9dc5059d3feabe1bf6275cfb440eed8c533907f492fd7a,f34368ba6433e7c8d671c20afd498154610af0082165c139a5aaeed468eb2cdf,analysis\production_evaluation\comparable_transcripts\macho_meals_fg1_run03\comparable_transcript.json,6,55,6,40,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,50,34,16,9050,6,475,13,3,460,OK,
macho_meals_fg2_run01,49,6,0,7680,55,Bilal|Connor|Henry|Noah|Sam,6,6,77,1,325,60,248,46,c0455406444517572a6732ea041b5f297a04207dc43da16a64b01edbc46f3cae,07d4575cb18000f562f2ab88ef759c94f48c7fa5ec12a8d1a174aa01bd7150bd,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 103, extended back 1 sentence(s) to char 77; dropped 77 leading chars (14 words) carrying: participant_name(Bilal,Connor,Henry,Noah,Sam); presentation_summary_propernouns(Nice,Henry,Noah,Sam)",none,True,6/7,True,0.562,True,0.889,none,aa83a9479f5c9be9874bd91b1aea4b820e6f1035c60604d5a8b6763374919170,5ad57d9fa59331a425cf06fbfeb1d16b80a0dbc07ab05e250072322da74e6c28,analysis\production_evaluation\comparable_transcripts\macho_meals_fg2_run01\comparable_transcript.json,6,47,6,35,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,42,29,13,6188,6,449,14,7,1043,OK,
macho_meals_fg2_run02,64,6,0,10798,70,Bilal|Connor|Henry|Noah|Sam,6,6,97,1,332,59,235,44,d175cfe0c874e64bb1d09f32133ce71dbf382e587d5ca5861db347a150d38138,1f35927b7148799bfa8580c1437b36d21fed6b439d5b08bb2c4f762b7ccccbdf,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 123, extended back 1 sentence(s) to char 97; dropped 97 leading chars (15 words) carrying: presentation_summary_propernouns(Great,Birmingham,Leeds,Belfast); presentation_summary(spread)",none,True,6/7,True,0.75,True,0.889,none,2f87ce5c35a77ea04e49f50cb33814b78a520724597d6f741017ceaeeb8eeda8,2d46968f884dfc9e6b089fa880725737378194948cc96653b3e10848573339d5,analysis\production_evaluation\comparable_transcripts\macho_meals_fg2_run02\comparable_transcript.json,6,66,6,48,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,61,42,19,9900,6,419,15,3,479,OK,
macho_meals_fg2_run03,56,6,0,9863,62,Bilal|Connor|Henry|Noah|Sam,6,6,89,1,408,79,319,63,dcc99aa974a0322f6b03f4cfec4cccc3d03402ff8d1346f8133387d6a4e4a37f,7aa070f97bb7be4d7b86ac32b8483b33c1b5bb2005804634797e42a16e5da7e5,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 201, extended back 2 sentence(s) to char 89; dropped 89 leading chars (16 words) carrying: participant_name(Noah,Sam); welcome; presentation_summary_propernouns(Brilliant,Sam,Noah,Noah)",none,True,6/7,True,0.312,True,0.889,none,120dcb1a3674630d9ac2e77cdb68f19d92ab845f191044f2f5f948ede2cb4c4a,6e2af29cdd259c55516845e8f8919497859a569734e5702b5092e747999836f9,analysis\production_evaluation\comparable_transcripts\macho_meals_fg2_run03\comparable_transcript.json,6,56,6,41,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,51,35,16,8706,6,388,16,5,769,OK,
macho_meals_fg3_run01,57,6,0,11849,63,Andrew|Daniel|John|Nick|Paul,6,6,58,1,381,73,323,60,49d0b38bc0d7a19918971fee8cde4e66966634151887acffe671dc6ecdf2a545,26996359650348ff0aa9d22709c1e96aba8430aaf8ca20755cfc1e9804e5bdcb,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 182, extended back 2 sentence(s) to char 58; dropped 58 leading chars (13 words) carrying: welcome",none,True,4/7,True,0.812,True,0.556,none,06f128afec91e0d8bb98a64f464a4d8393b577be04559745837d99f56aef41e7,35d22075e4823baeafef6632bad40f41b24f371aa625c5a27e62026b2cf2bfd0,analysis\production_evaluation\comparable_transcripts\macho_meals_fg3_run01\comparable_transcript.json,6,55,6,37,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,50,31,19,9919,6,530,13,7,1400,OK,
macho_meals_fg3_run02,41,6,0,7564,47,Andrew|Daniel|John|Nick|Paul,8,7,24,1,127,23,103,20,a64cd11068a4b9446ae81525a6c882b3c05137125d9c0b0656ef81f5d6402410,f09fec4c97a6db14726248c1cfc6fa29777465eadb46a291ca41193f5a6e215b,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 24, extended back 0 sentence(s) to char 24; dropped 24 leading chars (3 words) carrying: pre-ask framing / presentation round",none,True,5/7,True,0.438,True,0.667,none,f67de4921c356643d3f97f14422eccbe270f6e297057920f47383b55cb360832,edc8df5c197c5beb0d552b8d226929e493c3e1652e3726fd9e78622763104c92,analysis\production_evaluation\comparable_transcripts\macho_meals_fg3_run02\comparable_transcript.json,8,42,7,31,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,35,24,11,6231,8,725,3,4,608,OK,
macho_meals_fg3_run03,54,6,0,9704,60,Andrew|Daniel|John|Nick|Paul,6,6,52,1,323,64,271,54,081fb648a9b3731ad8b60cd747ac3af8a965889ea89857d7cf565644d27cfb5d,a659aada582a40b8c79af8c799f5abf2639017c35f1a071a0f97c1f584171cc1,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 78, extended back 1 sentence(s) to char 52; dropped 52 leading chars (10 words) carrying: welcome",none,True,3/7,True,0.688,True,0.556,none,38ff01260666915fd2e06f8d6cfb41356b54ad28f10d4316e4190f5126e169f7,1cc065e485a75e5ac6ffb329bd2b89f532e20e96c0ccd33e89073b6612acbf10,analysis\production_evaluation\comparable_transcripts\macho_meals_fg3_run03\comparable_transcript.json,6,56,6,40,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,51,34,17,8823,6,464,10,3,417,OK,
macho_meals_fg4_run01,37,6,0,6476,43,Gregor|James|Mark,4,4,71,1,318,61,247,50,1a136afc6e099752f68a47bc785fc730d22e03f6bac27745becae85766486e09,578ee7ed67d51ee2664c698f7e913be6e35332257c7c5bd9f211729d5ce6ec97,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 96, extended back 1 sentence(s) to char 71; dropped 71 leading chars (11 words) carrying: presentation_summary_propernouns(Great,Manchester,East,London); presentation_summary(spread)",none,True,5/7,True,0.438,True,0.667,none,8eb0cd914cf13d2a1b30492d2671d9abf80190ba748c1a35d70f9d3596927ee3,768c02e900e43996f160e9a5572c46f2254c4d5530555d72136533354c607c3f,analysis\production_evaluation\comparable_transcripts\macho_meals_fg4_run01\comparable_transcript.json,4,39,4,29,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,36,25,11,5804,4,292,11,3,380,OK,
