unit,side,condition,section_label_index,window_entry_index,guide_question_for_this_label,moderator_actually_asked,labels_displaced_in_this_run
fg1,human,human,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,Question 1. What’s your favourite place in your city to spend time with your male friends? Why - feel free to be specific?,False
fg1,human,human,2,14,How do you decide what to eat?,Question 2. How do you decide what to eat?,False
fg1,human,human,3,22,Do you think your gender influences what you eat? Tell us more about why or why not.,Question 3. Do you think your gender influences what you eat? Tell us more about why or why not?,False
fg1,human,human,4,32,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,Question 4. Imagine you decided to go plant-based - what would need to change in your life for you to do that?,False
fg1,human,human,5,46,What might make plant-based foods more appealing to you or other men you know?,Question 5. What might make plant-based foods more appealing to you or other men you know?,False
fg2,human,human,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,Question 1. What’s your favourite place in your city to spend time with your male friends? Why - feel free to be specific?,False
fg2,human,human,2,6,How do you decide what to eat?,Question 2. How do you decide what to eat?,False
fg2,human,human,3,12,Do you think your gender influences what you eat? Tell us more about why or why not.,Question 3. Do you think your gender influences what you eat? Tell us more about why or why not?,False
fg2,human,human,4,18,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,Question 4. Imagine you decided to go plant-based - what would need to change in your life for you to do that?,False
fg2,human,human,5,26,What might make plant-based foods more appealing to you or other men you know?,Question 5. What might make plant-based foods more appealing to you or other men you know?,False
fg3,human,human,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,Question 1. What’s your favourite place in your city to spend time with your male friends? Why - feel free to be specific?,False
fg3,human,human,2,7,How do you decide what to eat?,Question 2. How do you decide what to eat?,False
fg3,human,human,3,24,Do you think your gender influences what you eat? Tell us more about why or why not.,Question 3. Do you think your gender influences what you eat? Tell us more about why or why not?,False
fg3,human,human,4,56,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,Question 4. Imagine you decided to go plant-based - what would need to change in your life for you to do that?,False
fg3,human,human,5,85,What might make plant-based foods more appealing to you or other men you know?,Question 5. What might make plant-based foods more appealing to you or other men you know?,False
fg4,human,human,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,Question 1. What’s your favourite place in your city to spend time with your male friends? Why - feel free to be specific?,False
fg4,human,human,2,6,How do you decide what to eat?,Question 2. How do you decide what to eat?,False
fg4,human,human,3,17,Do you think your gender influences what you eat? Tell us more about why or why not.,Question 3. Do you think your gender influences what you eat? Tell us more about why or why not?,False
fg4,human,human,4,23,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,Question 4. Imagine you decided to go plant-based - what would need to change in your life for you to do that?,False
fg4,human,human,5,31,What might make plant-based foods more appealing to you or other men you know?,Question 5. What might make plant-based foods more appealing to you or other men you know?,False
fg5,human,human,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,Question 1. What’s your favourite place in your city to spend time with your male friends? Why - feel free to be specific?,False
fg5,human,human,2,16,How do you decide what to eat?,Question 2. How do you decide what to eat?,False
fg5,human,human,3,53,Do you think your gender influences what you eat? Tell us more about why or why not.,Question 3. Do you think your gender influences what you eat? Tell us more about why or why not?,False
fg5,human,human,5,91,What might make plant-based foods more appealing to you or other men you know?,Question 5. What might make plant-based foods more appealing to you or other men you know?,False
macho_meals_fg1_run01,synthetic,enriched,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Right, let's get into it properly. First thing I want to ask: what's your favourite place in your city — or your area — to spend time with your male friends? Could be a pub, someone's house, a park, anywhere. Why that place specifically?",False
macho_meals_fg1_run01,synthetic,enriched,2,8,How do you decide what to eat?,"Cheers Will. So we've got the pub as the go-to for most of you, and Will coming at it from a different angle with the farm shops and that direct network. Let's shift to something related — how do you actually decide what to eat, day to day? Not just when you're out, but in general — what drives thos [...]",False
macho_meals_fg1_run01,synthetic,enriched,3,14,Do you think your gender influences what you eat? Tell us more about why or why not.,"Yeah, that idea about habits stacking up is interesting — whether the defaults you build on a normal Tuesday actually shape how you eat more broadly. Good thread to have out there. Let me take us somewhere that connects to a lot of what's just come up. You've been talking about what drives food choi [...]",False
