act_id,side,fg,run,condition,section_index,section_label,act_index_in_section,selection_mode,prev_turn_id,prev_speaker,prev_words,resp_turn_id,resp_speaker,resp_words,n_clauses,d1_div,d1_align,d1_hedge,d1_div_hits,d1_align_hits,d1_label,d1_div_full,d1_align_full,d1_label_full,prev_text,resp_text
88d8d4a09410,human,fg1,,human,1,Opening discussion: male friendship and place,1,,T003,David,57,T004,Will,54,10,0,0,0,,,none,0,0,none,"Yeah, so it's a place called Old Town House. It's a pub. It's on like a rooftop, so that's probably where we go most often, and it's decent price, and easy to get to for all of us to meet up. So that's probably the best place that we would go to. Who wants to go next?","I'll go next. Um, typically, um, there's a place called the Goody Goose. It's, um (.), got reasonably priced food. It's got a nice selection of food. Um, and (.), um, it's usually very nice, but it's in a nice situation, it's in a nice spot, um, [unintelligible], so that's where I would go."
94c285a36e25,human,fg1,,human,1,Opening discussion: male friendship and place,2,,T004,Will,54,T005,David,10,1,0,0,0,,,none,0,0,none,"I'll go next. Um, typically, um, there's a place called the Goody Goose. It's, um (.), got reasonably priced food. It's got a nice selection of food. Um, and (.), um, it's usually very nice, but it's in a nice situation, it's in a nice spot, um, [unintelligible], so that's where I would go.","Just the, just the classics, cheap food, nice drinks, like."
40eb0c847e45,human,fg1,,human,1,Opening discussion: male friendship and place,3,,T005,David,10,T006,Will,3,1,0,0,0,,,none,0,0,none,"Just the, just the classics, cheap food, nice drinks, like.","Yeah, basically, yeah."
12ec206ab746,human,fg1,,human,1,Opening discussion: male friendship and place,4,,T006,Will,3,T007,Isaiah,50,4,0,0,0,,,none,0,0,none,"Yeah, basically, yeah.","Yeah, I'll go next. I feel the best place, uh, we will go then was, uh, we'll go to parks and, uh, most times there's no, uh, plan on getting what to eat. We just get here and, uh, see what, uh, what is available and everybody picks their choices."
efc98e0e2ed5,human,fg1,,human,1,Opening discussion: male friendship and place,5,,T007,Isaiah,50,T008,David,10,1,0,0,0,,,none,0,0,none,"Yeah, I'll go next. I feel the best place, uh, we will go then was, uh, we'll go to parks and, uh, most times there's no, uh, plan on getting what to eat. We just get here and, uh, see what, uh, what is available and everybody picks their choices.","It just kind of depends what everyone's feeling, I guess."
48da3ce48878,human,fg1,,human,1,Opening discussion: male friendship and place,6,,T008,David,10,T009,Isaiah,10,2,0,0,0,,,none,0,0,none,"It just kind of depends what everyone's feeling, I guess.","Yeah, that's just depending on where the place is. And."
75b74b5351f8,human,fg1,,human,1,Opening discussion: male friendship and place,7,,T009,Isaiah,10,T010,Amir,15,2,0,0,0,,,none,0,0,none,"Yeah, that's just depending on where the place is. And.","Um, I'll go next. Do you, oh, do you want to go next or me?"
1d4081a632cc,human,fg1,,human,1,Opening discussion: male friendship and place,8,,T010,Amir,15,T011,Ibrahim,6,1,0,0,0,,,none,0,0,none,"Um, I'll go next. Do you, oh, do you want to go next or me?","Yeah, yeah, you can go next."
3bcf27e5b11f,human,fg1,,human,1,Opening discussion: male friendship and place,9,,T011,Ibrahim,6,T012,Amir,60,8,0,0,0,,,none,0,0,none,"Yeah, yeah, you can go next.","Um, so my favourite place in the city is a place called Driving Simulator, where you can drive Formula 1 cars, as a simulation with my friends. Um, because we all share the same hobby. Um, how do we decide what to eat? It's in the city centre, so we can just go anywhere to be honest, and eat anywhere."
946395e83a44,human,fg1,,human,1,Opening discussion: male friendship and place,10,,T012,Amir,60,T013,Ibrahim,39,4,0,0,0,,,none,0,0,none,"Um, so my favourite place in the city is a place called Driving Simulator, where you can drive Formula 1 cars, as a simulation with my friends. Um, because we all share the same hobby. Um, how do we decide what to eat? It's in the city centre, so we can just go anywhere to be honest, and eat anywhere.","Okay, so, um, my favourite place in the city is, um, Old Trafford, that's, um, in Manchester. That is where I do like to have fun with my male friends. We go watch, um, Manchester United matches and all."
29afa0f1d4e7,human,fg1,,human,2,Everyday food decision-making,1,,T015,David,64,T016,Will,101,10,0,0,0,,,none,0,0,none,"Uh, kind of just depends what we're all feeling, to be honest. Like, I don't think we ever go out with like a set place in mind unless we've booked somewhere but like otherwise we're out for a few drinks it's like just decide what we want to eat and then there's loads of places around it so we just pick one after that.","Typically how I decide what to eat is normally depending on where we're going so Giddy Goose for example has a lot of different stuff but typically I usually have burgers but I've really tried to not have that and actually try something different for a change.
Um, so if there's something, if I've been there before, I'll probably try something different just to see what I like, um, uh, that's, yeah, typically burgers or pizzas probably, but it depends if it was like a Chinese restaurant or a Thai restaurant, that's different. So you'd have something specific to that. Yeah."
debabf5dd94d,human,fg1,,human,2,Everyday food decision-making,2,,T016,Will,101,T017,David,39,3,0,0,1,,,none,0,0,none,"Typically how I decide what to eat is normally depending on where we're going so Giddy Goose for example has a lot of different stuff but typically I usually have burgers but I've really tried to not have that and actually try something different for a change.
Um, so if there's something, if I've been there before, I'll probably try something different just to see what I like, um, uh, that's, yeah, typically burgers or pizzas probably, but it depends if it was like a Chinese restaurant or a Thai restaurant, that's different. So you'd have something specific to that. Yeah.","I guess like when it comes to stuff like that, when it's like Chinese or that, I'll usually go like different stuff, but like burgers and pizzas, I'm usually just going to get the exact same thing every time."
182380f80bb8,human,fg1,,human,2,Everyday food decision-making,3,,T017,David,39,T018,Will,1,1,0,0,0,,,none,0,0,none,"I guess like when it comes to stuff like that, when it's like Chinese or that, I'll usually go like different stuff, but like burgers and pizzas, I'm usually just going to get the exact same thing every time.",Yeah.
3bf54bff5e07,human,fg1,,human,2,Everyday food decision-making,4,,T018,Will,1,T019,Isaiah,76,8,0,0,0,,,none,0,0,none,Yeah.,"Well, we, yeah, I'll go next. We don't really decide what we'll eat like that. Most times we jump on each other's cravings. Just if one person just says, I want to go for burger, then you see everybody trying to go for burger and whatever. So it's not, it's not really like a setting of, this is what we're going to eat, no. Just jump on each other's cravings and see what we can't eat."
bfdd1a3e319d,human,fg1,,human,2,Everyday food decision-making,5,,T019,Isaiah,76,T020,David,3,1,0,0,0,,,none,0,0,none,"Well, we, yeah, I'll go next. We don't really decide what we'll eat like that. Most times we jump on each other's cravings. Just if one person just says, I want to go for burger, then you see everybody trying to go for burger and whatever. So it's not, it's not really like a setting of, this is what we're going to eat, no. Just jump on each other's cravings and see what we can't eat.","Yeah, makes sense."
2fbed4faa767,human,fg1,,human,2,Everyday food decision-making,6,,T020,David,3,T021,Amir,40,6,0,0,0,,,none,0,0,none,"Yeah, makes sense.","Um, yeah, I'll just elaborate on what I said. So the city centre has like over 50 places to eat, so I can just go anywhere. And, you know, fast food, it's usually that because we're all fat. So, yeah."
c039f0ed23eb,human,fg1,,human,3,Gender and food choice,1,,T023,Isaiah,58,T024,David,4,1,0,0,0,,,none,0,0,none,"Well, uh, I think, uh, if it's, uh, between the males only, I don't think, uh, there's, uh, a lot of the, uh, stuff like that. I think, uh, the male uh, the male just has a free mind about eating things and, uh, they don't really (.), there's not really an influence to the agenda like that.","Yeah, I would agree."
fc7472198ad2,human,fg1,,human,3,Gender and food choice,2,,T024,David,4,T025,Isaiah,15,1,0,0,0,,,none,0,0,none,"Yeah, I would agree.","With the free stuff like that, just, that's, there's not really an influence on it."
47ade6c60229,human,fg1,,human,3,Gender and food choice,3,,T025,Isaiah,15,T026,David,74,6,0,0,0,,,none,0,0,none,"With the free stuff like that, just, that's, there's not really an influence on it.","I think, I think, you know, like gender influences what you eat. If it's like me, we're like, we're like just my guy friends, like we might go somewhere where we know like, there's like cheap beer as well. But nothing, nothing like actual food-wise. I don't think I've ever made a decision on where to eat on like, any influences, like gender-wise. Um, so I would say no, for where we would eat."
5049cb915419,human,fg1,,human,3,Gender and food choice,4,,T026,David,74,T027,Ibrahim,72,8,0,0,0,,,none,0,0,none,"I think, I think, you know, like gender influences what you eat. If it's like me, we're like, we're like just my guy friends, like we might go somewhere where we know like, there's like cheap beer as well. But nothing, nothing like actual food-wise. I don't think I've ever made a decision on where to eat on like, any influences, like gender-wise. Um, so I would say no, for where we would eat.","Okay, so how do you decide what to eat? We barely decide what to eat. It's just, um, probably what we want to eat for that particular moment, food for the moment, probably whatever we are craving to eat. Basically, we can have this kind of early morning coffee and stuff like that, but we really don't decide what to eat. It's just depending on what we are craving at the moment."
7964b5d6b0e5,human,fg1,,human,3,Gender and food choice,5,,T027,Ibrahim,72,T028,David,10,1,0,0,0,,,none,0,0,none,"Okay, so how do you decide what to eat? We barely decide what to eat. It's just, um, probably what we want to eat for that particular moment, food for the moment, probably whatever we are craving to eat. Basically, we can have this kind of early morning coffee and stuff like that, but we really don't decide what to eat. It's just depending on what we are craving at the moment.",And do you want to answer question three as well?
0e5fb6e37bde,human,fg1,,human,3,Gender and food choice,6,,T028,David,10,T029,Ibrahim,83,9,0,0,0,,,none,0,0,none,And do you want to answer question three as well?,"Do you think gender influences what you eat? Um, yeah, basically I do think gender does, because as a male, I guess there are certain things I am meant to take, which ladies might take and I might not take. Let's, let's, um, let's talk about probably sugary stuff, chocolates. I view as a male. I, as I, as a male, I am, I'm not going to take, like, sugary stuff, and the like, so I feel gender influences what I do eat."
90131911fc68,human,fg1,,human,3,Gender and food choice,7,,T029,Ibrahim,83,T030,Amir,53,6,0,0,1,,,none,1,0,divergence,"Do you think gender influences what you eat? Um, yeah, basically I do think gender does, because as a male, I guess there are certain things I am meant to take, which ladies might take and I might not take. Let's, let's, um, let's talk about probably sugary stuff, chocolates. I view as a male. I, as I, as a male, I am, I'm not going to take, like, sugary stuff, and the like, so I feel gender influences what I do eat.","Um, I don't think gender influences what I eat. Maybe how much I eat with my like guy friends compared to my girls that are friends. But I don't like, where we go to, not really. It's usually just all the same. It might order a bit more, but that's not really relevant."
fd80e793d4f2,human,fg1,,human,3,Gender and food choice,8,,T030,Amir,53,T031,Will,93,7,0,0,0,,,none,0,0,none,"Um, I don't think gender influences what I eat. Maybe how much I eat with my like guy friends compared to my girls that are friends. But I don't like, where we go to, not really. It's usually just all the same. It might order a bit more, but that's not really relevant.","Um, so I would say, yeah, I think if you're with your (.), if you're with, um, your male friends, then if you're out, you do feel like you do need to eat more. So I, again, you would go for burgers or pizzas and get bigger ones or the higher stat burgers, for example. But if I'm with my wife, it would be, I'd probably have something maybe a bit different, um, you know, steak sandwiches, that type of thing, um, just something lighter. Yeah, that makes you look a bit better."
99d31e303db5,human,fg1,,human,4,Imagining a plant-based shift,1,,T033,David,86,T034,Amir,7,1,0,0,0,,,none,0,0,none,"Um, we eat quite a lot of meat to be honest, like me and my partner, so, probably need to change a lot, like completely change like what recipes we know. Um, how we do the shopping, so a lot of the way we deal with food would have to change in a minute. So maybe try different shops as well to see if there's any better and just look up different recipes and just learn a bit more about going plant based. I would say.",Would you like me to go next?
7188e664eabc,human,fg1,,human,4,Imagining a plant-based shift,2,,T034,Amir,7,T035,David,3,1,0,0,0,,,none,0,0,none,Would you like me to go next?,"Yeah, that's fine."
