question,raw_theme_id,cluster_id,is_uncertain
1,RT_4B1168CD9045,UNCERTAIN,True
1,RT_40452568EB74,C6,False
1,RT_1754C8F029DF,UNCERTAIN,True
1,RT_55EC25DD9208,C5,False
1,RT_74059AFD2CD5,UNCERTAIN,True
1,RT_A633FF96CCDB,C3,False
1,RT_5E0F63B98F53,C6,False
1,RT_AEE7CD4DC282,UNCERTAIN,True
1,RT_1EC81A4D55B2,UNCERTAIN,True
1,RT_C90B256DCA4F,UNCERTAIN,True
1,RT_F4AFCC1E877C,C1,False
1,RT_FF053B2769E8,UNCERTAIN,True
1,RT_32ADCC3048FA,C4,False
1,RT_F5DDFEA3150F,UNCERTAIN,True
1,RT_3CA418BC3CF2,C9,False
1,RT_29EED8CCB31A,C13,False
1,RT_BBDE6ADD6AFC,C7,False
1,RT_2A852ADB2333,C18,False
1,RT_566F4F0AC318,C14,False
1,RT_1BFD463E9074,C1,False
1,RT_D59F2432EA8D,C1,False
1,RT_59D8A63A4816,C10,False
1,RT_68ACB00DCE74,C13,False
1,RT_9A0E5931F272,C4,False
1,RT_47CD42C535C1,UNCERTAIN,True
1,RT_9C00D6F73050,C2,False
1,RT_B0A934D1FD62,C12,False
1,RT_F46E4896DA37,C10,False
1,RT_C8564A9EEC69,UNCERTAIN,True
1,RT_8F752DCBEA8A,C11,False
1,RT_3C3E55A889B4,C6,False
1,RT_E0A4BE71208A,C5,False
1,RT_33412056F823,C17,False
1,RT_B9694823E747,C1,False
1,RT_D62CBACBC57F,UNCERTAIN,True
1,RT_78354EB190F0,C15,False
1,RT_DEE4DBB6EF46,C1,False
1,RT_700F611B5504,C3,False
1,RT_78D1F8AEE997,C12,False
1,RT_A1C46DF1AAE3,C9,False
1,RT_140E6FDA0337,UNCERTAIN,True
1,RT_77E016308586,UNCERTAIN,True
1,RT_558ABB8A85A3,C12,False
1,RT_4D2805C73FBB,C1,False
1,RT_92B0B1E9DA88,UNCERTAIN,True
1,RT_A7630E81D539,C2,False
1,RT_4C97549DC502,C1,False
1,RT_DA0454A0D709,C9,False
1,RT_BBFAB7DA6014,C14,False
1,RT_5A7FD0F52651,C12,False
1,RT_22B2E31F6ED9,C6,False
1,RT_7643BBF41657,C1,False
1,RT_15312ED66D3E,UNCERTAIN,True
1,RT_18E56CBA3212,C15,False
1,RT_ACAB180BAD6A,UNCERTAIN,True
