unit,side,fg,condition,n_entries,n_participant_turns,section_labels_misaligned,length_match_w,relevance_bertscore_f1,relevance_bertscore_f1_rescaled,relevance_bertscore_f1_length_matched,relevance_bertscore_f1_vs_section_opener,relevance_n_pairs,relevance_mean_cand_words,relevance_mean_ref_words,between_participant_bertscore_f1,between_participant_bertscore_f1_rescaled,between_participant_bertscore_f1_length_matched,between_participant_n_pairs,between_participant_n_sections,between_participant_sections,between_participant_mean_turn_words,agreement_strict_R2,agreement_strict_R3,agreement_strict_n,agreement_bridged_R2,agreement_bridged_R3,agreement_bridged_n,moderator_word_share,participant_word_shares,n_participants,notes
fg1,human,fg1,human,64,58,False,38,0.8405,0.0552,0.8434,0.8398,58,48.1,21.4,0.8468,0.0921,0.8506,267,5,1|2|3|4|5,56.6,0.499,0.438,52,0.5055,0.4445,53,0.0439,0.3097|0.2438|0.1379|0.1341|0.1307,5,
fg2,human,fg2,human,33,28,False,89,0.8252,-0.0355,0.8311,0.8252,28,102.6,18.0,0.8376,0.0378,0.8409,62,5,1|2|3|4|5,108.7,0.6412,0.5465,23,0.6412,0.5465,23,0.03,0.3091|0.2160|0.1978|0.1451|0.1019,5,
fg3,human,fg3,human,104,98,False,47,0.8351,0.023,0.8406,0.8359,98,76.8,18.3,0.8415,0.0611,0.8475,845,5,1|2|3|4|5,93.0,0.5041,0.3884,92,0.5045,0.3898,93,0.0131,0.2904|0.2791|0.1780|0.1566|0.0828,5,
fg4,human,fg4,human,44,39,False,47,0.8365,0.0315,0.842,0.8365,39,85.9,16.6,0.8374,0.0368,0.8456,108,5,1|2|3|4|5,100.6,0.5644,0.4152,34,0.5644,0.4152,34,0.0259,0.5366|0.3145|0.1230,3,
fg5,human,fg5,human,128,123,False,22,0.8367,0.0324,0.8417,0.8376,123,52.1,15.8,0.8427,0.0678,0.8504,1456,4,1|2|3|5,56.7,0.4755,0.3554,118,0.4758,0.3554,119,0.0134,0.4191|0.2787|0.2196|0.0693,4,"Question numbering has gaps: [1, 2, 3, 5] — the missing question was not asked in this group and is reported as absent, not inferred.; guide section(s) [4] have no `Question N.` header in this transcript; their material, if present, is carried inside the preceding section"
macho_meals_fg1_run01,synthetic,fg1,enriched,55,37,False,38,0.8225,-0.0519,0.8417,0.8212,37,227.8,61,0.8514,0.1194,0.8574,107,5,1|2|3|4|5,225.4,0.8533,0.554,19,0.8622,0.5375,32,0.1107,0.2797|0.1848|0.1555|0.1431|0.1263,5,
macho_meals_fg1_run02,synthetic,fg1,enriched,47,32,False,38,0.8224,-0.0523,0.837,0.8179,32,222.8,56.4,0.8554,0.1435,0.8578,75,5,1|2|3|4|5,213.8,0.8482,0.5452,17,0.8485,0.5382,27,0.0952,0.2212|0.2103|0.1810|0.1739|0.1185,5,
macho_meals_fg1_run03,synthetic,fg1,enriched,50,34,False,38,0.8206,-0.063,0.8401,0.8209,34,241.5,58.9,0.8498,0.1101,0.858,90,5,1|2|3|4|5,251.0,0.861,0.5255,18,0.8557,0.511,29,0.0928,0.2146|0.2135|0.1775|0.1561|0.1455,5,
macho_meals_fg2_run01,synthetic,fg2,enriched,42,29,False,89,0.827,-0.0248,0.8341,0.8258,29,192.1,53.6,0.8608,0.1755,0.8584,60,5,1|2|3|4|5,178.5,0.8827,0.7117,16,0.8817,0.6925,24,0.0997,0.2553|0.1705|0.1705|0.1622|0.1417,5,
macho_meals_fg2_run02,synthetic,fg2,enriched,61,42,False,89,0.8272,-0.0238,0.8358,0.8254,42,211.5,58.5,0.8536,0.1325,0.8525,136,5,1|2|3|4|5,215.0,0.8636,0.6234,23,0.8647,0.6135,37,0.1025,0.1996|0.1906|0.1904|0.1800|0.1369,5,
macho_meals_fg2_run03,synthetic,fg2,enriched,51,35,False,89,0.8219,-0.0551,0.8345,0.8239,35,227.3,54.9,0.8572,0.1539,0.8553,97,5,1|2|3|4|5,232.7,0.8758,0.6251,19,0.8808,0.6214,30,0.0861,0.2377|0.1876|0.1751|0.1664|0.1471,5,
macho_meals_fg3_run01,synthetic,fg3,enriched,50,31,False,47,0.8245,-0.0397,0.8428,0.8247,31,284.3,63.3,0.8521,0.1238,0.852,76,5,1|2|3|4|5,291.8,0.8737,0.5349,12,0.8624,0.5135,26,0.1115,0.1991|0.1808|0.1732|0.1714|0.1640,5,
macho_meals_fg3_run02,synthetic,fg3,enriched,35,24,False,47,0.8258,-0.0324,0.8378,0.8239,24,232.4,57.4,0.8529,0.1285,0.8534,37,5,1|2|3|4|5,233.5,0.8858,0.5477,13,0.8785,0.5369,19,0.105,0.2898|0.2255|0.2037|0.1054|0.0706,5,
macho_meals_fg3_run03,synthetic,fg3,enriched,51,34,False,47,0.8257,-0.0328,0.8399,0.824,34,225.1,70.9,0.8562,0.1481,0.8537,86,5,1|2|3|4|5,230.7,0.8773,0.574,17,0.8813,0.557,29,0.1324,0.2433|0.1897|0.1750|0.1453|0.1142,5,
macho_meals_fg4_run01,synthetic,fg4,enriched,36,25,False,47,0.8245,-0.0399,0.8385,0.826,25,213.5,53.8,0.8535,0.1317,0.8544,39,5,1|2|3|4|5,195.0,0.8642,0.6374,14,0.8691,0.5956,20,0.0803,0.3801|0.2741|0.2655,3,
macho_meals_fg4_run04,synthetic,fg4,enriched,48,32,False,47,0.8202,-0.0651,0.8363,0.824,32,245.7,59.8,0.8512,0.1186,0.8495,65,5,1|2|3|4|5,248.2,0.8728,0.5389,16,0.877,0.5472,27,0.1044,0.3013|0.2990|0.2953,3,
macho_meals_fg4_run03,synthetic,fg4,enriched,48,31,False,47,0.8238,-0.0439,0.8374,0.8238,31,216.6,60.4,0.8508,0.1163,0.8504,65,5,1|2|3|4|5,220.9,0.8471,0.5686,14,0.8518,0.5451,26,0.1244,0.3013|0.3010|0.2733,3,
macho_meals_fg5_run01,synthetic,fg5,enriched,41,28,False,22,0.8189,-0.0729,0.8385,0.8213,28,258.8,61.8,0.8502,0.1124,0.8497,55,5,1|2|3|4|5,264.7,0.8856,0.4317,11,0.8794,0.4262,16,0.0923,0.2751|0.2740|0.1864|0.1722,4,
