fg,condition,n_replicates,namespace,recall_values,recall_mean,recall_median,recall_sd,recall_min,recall_max,precision_values,precision_mean,precision_median,precision_sd,precision_min,precision_max,f1_secondary_values,f1_secondary_mean,reach_values,reach_mean,reach_implementation_caveat,human_present_n,participants_n
fg1,enriched,3,_comparable_window,0.3750|0.3750|0.3750,0.375,0.375,0.0,0.375,0.375,1.0000|1.0000|1.0000,1.0,1.0,0.0,1.0,1.0,0.5455|0.5455|0.5455,0.5455,0.6000|0.9333|0.9333,0.8222,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,8,5
fg2,enriched,3,_comparable_window,0.2857|0.1429|0.5714,0.3333,0.2857,0.2182,0.1429,0.5714,0.5000|0.5000|0.8000,0.6,0.5,0.1732,0.5,0.8,0.3636|0.2223|0.6666,0.4175,0.7500|0.9000|0.6000,0.75,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,7,5
fg3,enriched,3,_comparable_window,0.3000|0.4000|0.4000,0.3667,0.4,0.0577,0.3,0.4,1.0000|1.0000|1.0000,1.0,1.0,0.0,1.0,1.0,0.4615|0.5714|0.5714,0.5348,0.6667|0.7000|0.7500,0.7056,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,10,5
fg4,enriched,3,_comparable_window,0.5000|0.1667|0.1667,0.2778,0.1667,0.1924,0.1667,0.5,0.6000|0.3333|0.3333,0.4222,0.3333,0.154,0.3333,0.6,0.5455|0.2222|0.2222,0.33,0.6000|1.0000|0.8889,0.8296,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,6,3
fg5,enriched,3,_comparable_window,0.4000|0.8000|0.6000,0.6,0.6,0.2,0.4,0.8,1.0000|1.0000|0.7500,0.9167,1.0,0.1443,0.75,1.0,0.5714|0.8889|0.6667,0.709,0.7500|0.8125|0.6875,0.75,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,5,4
fg1,demographics-only,3,_comparable_window,0.5000|0.2500|0.2500,0.3333,0.25,0.1443,0.25,0.5,1.0000|1.0000|1.0000,1.0,1.0,0.0,1.0,1.0,0.6667|0.4000|0.4000,0.4889,0.4500|0.7000|0.6000,0.5833,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,8,5
fg2,demographics-only,3,_comparable_window,0.1429|0.5714|0.4286,0.381,0.4286,0.2182,0.1429,0.5714,0.5000|0.8000|0.7500,0.6833,0.75,0.1607,0.5,0.8,0.2223|0.6666|0.5455,0.4781,0.7000|0.4000|0.5000,0.5333,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,7,5
fg3,demographics-only,3,_comparable_window,0.1000|0.1000|0.1000,0.1,0.1,0.0,0.1,0.1,1.0000|1.0000|1.0000,1.0,1.0,0.0,1.0,1.0,0.1818|0.1818|0.1818,0.1818,0.8000|0.4000|0.6000,0.6,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,10,5
fg4,demographics-only,3,_comparable_window,0.0000|0.0000|0.0000,0.0,0.0,0.0,0.0,0.0,0.0000|0.0000|0.0000,0.0,0.0,0.0,0.0,0.0,0.0000|0.0000|0.0000,0.0,1.0000|1.0000|1.0000,1.0,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,6,3
fg5,demographics-only,3,_comparable_window,0.6000|0.6000|0.4000,0.5333,0.6,0.1155,0.4,0.6,1.0000|0.6000|1.0000,0.8667,1.0,0.2309,0.6,1.0,0.7500|0.6000|0.5714,0.6405,0.5833|0.4500|0.6250,0.5528,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,5,4
