side,physical_run,condition,fg,canonical_replication_index,subtheme_id,voiced_by_n,participants_n,reach,implementation_caveat,namespace
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,A.1,4,5,0.8,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
human,,human,fg5,,A.1,2,4,0.5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
human,,human,fg5,,B.2,3,4,0.75,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
human,,human,fg5,,B.3,2,4,0.5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
human,,human,fg5,,B.4,3,4,0.75,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
human,,human,fg5,,C.3,3,4,0.75,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,A.1,2,5,0.4,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,A.1,3,5,0.6,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
human,,human,fg3,,A.1,4,5,0.8,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
human,,human,fg3,,A.2,1,5,0.2,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
human,,human,fg3,,A.3,2,5,0.4,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
human,,human,fg3,,B.2,4,5,0.8,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
human,,human,fg3,,B.3,2,5,0.4,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
human,,human,fg3,,B.4,4,5,0.8,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
human,,human,fg3,,C.1,3,5,0.6,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
human,,human,fg3,,C.2,2,5,0.4,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
human,,human,fg3,,C.3,5,5,1.0,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
human,,human,fg3,,D,3,5,0.6,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg3_run02,enriched,fg3,2,A.1,3,5,0.6,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg3_run02,enriched,fg3,2,B.2,4,5,0.8,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg3_run02,enriched,fg3,2,B.4,3,5,0.6,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg2_run01,enriched,fg2,1,A.1,3,5,0.6,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg2_run01,enriched,fg2,1,B.1,3,5,0.6,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg2_run01,enriched,fg2,1,B.2,5,5,1.0,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg2_run01,enriched,fg2,1,B.4,4,5,0.8,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,A.1,4,5,0.8,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,B.2,3,5,0.6,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg4_run04,enriched,fg4,2,A.1,2,3,0.6666666666666666,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg4_run04,enriched,fg4,2,A.2,1,3,0.3333333333333333,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg4_run04,enriched,fg4,2,B.2,3,3,1.0,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg4_run04,enriched,fg4,2,B.4,2,3,0.6666666666666666,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg4_run04,enriched,fg4,2,C.1,1,3,0.3333333333333333,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg4_run03,enriched,fg4,3,A.1,3,3,1.0,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg4_run03,enriched,fg4,3,B.2,3,3,1.0,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
synthetic,macho_meals_fg4_run03,enriched,fg4,3,B.4,3,3,1.0,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,_comparable_window
