variant,status,condition,fg,canonical_replication_index,shared_n,synthetic_present_n,human_present_n,recall,precision,f1_secondary,precision_undefined_reason,f1_undefined_reason,synthetic_present_set
ORIGINAL_GEMINI,PRIMARY,demographics-only,fg1,1,2,2,8,0.25,1.0,0.4,,,A.1|B.2
ORIGINAL_GEMINI,PRIMARY,demographics-only,fg1,2,4,4,8,0.5,1.0,0.6667,,,A.1|B.2|B.4|C.3
ORIGINAL_GEMINI,PRIMARY,demographics-only,fg1,3,2,2,8,0.25,1.0,0.4,,,A.1|B.2
ORIGINAL_GEMINI,PRIMARY,demographics-only,fg2,1,4,5,7,0.5714,0.8,0.6666,,,A.1|A.3|B.2|B.4|C.3
ORIGINAL_GEMINI,PRIMARY,demographics-only,fg2,2,1,2,7,0.1429,0.5,0.2223,,,A.1|B.2
ORIGINAL_GEMINI,PRIMARY,demographics-only,fg2,3,3,4,7,0.4286,0.75,0.5455,,,A.1|B.2|B.4|C.3
ORIGINAL_GEMINI,PRIMARY,demographics-only,fg3,1,1,1,10,0.1,1.0,0.1818,,,A.1
ORIGINAL_GEMINI,PRIMARY,demographics-only,fg3,2,1,1,10,0.1,1.0,0.1818,,,A.1
ORIGINAL_GEMINI,PRIMARY,demographics-only,fg3,3,1,1,10,0.1,1.0,0.1818,,,A.1
ORIGINAL_GEMINI,PRIMARY,demographics-only,fg4,1,0,1,6,0.0,0.0,0.0,,,A.1
ORIGINAL_GEMINI,PRIMARY,demographics-only,fg4,2,0,2,6,0.0,0.0,0.0,,,A.1|B.2
ORIGINAL_GEMINI,PRIMARY,demographics-only,fg4,3,0,2,6,0.0,0.0,0.0,,,A.1|B.2
ORIGINAL_GEMINI,PRIMARY,demographics-only,fg5,1,3,5,5,0.6,0.6,0.6,,,A.1|A.3|B.2|B.4|D
ORIGINAL_GEMINI,PRIMARY,demographics-only,fg5,2,3,3,5,0.6,1.0,0.75,,,A.1|B.2|B.4
ORIGINAL_GEMINI,PRIMARY,demographics-only,fg5,3,2,2,5,0.4,1.0,0.5714,,,A.1|B.2
ORIGINAL_GEMINI,PRIMARY,enriched,fg1,1,3,3,8,0.375,1.0,0.5455,,,A.1|B.2|B.4
ORIGINAL_GEMINI,PRIMARY,enriched,fg1,2,3,3,8,0.375,1.0,0.5455,,,A.1|B.2|B.4
ORIGINAL_GEMINI,PRIMARY,enriched,fg1,3,3,3,8,0.375,1.0,0.5455,,,A.1|B.2|B.4
ORIGINAL_GEMINI,PRIMARY,enriched,fg2,1,2,4,7,0.2857,0.5,0.3636,,,A.1|B.1|B.2|B.4
ORIGINAL_GEMINI,PRIMARY,enriched,fg2,2,4,5,7,0.5714,0.8,0.6666,,,A.1|A.2|B.2|B.4|C.3
ORIGINAL_GEMINI,PRIMARY,enriched,fg2,3,1,2,7,0.1429,0.5,0.2223,,,A.1|B.2
ORIGINAL_GEMINI,PRIMARY,enriched,fg3,1,4,4,10,0.4,1.0,0.5714,,,A.1|B.2|B.4|D
ORIGINAL_GEMINI,PRIMARY,enriched,fg3,2,3,3,10,0.3,1.0,0.4615,,,A.1|B.2|B.4
ORIGINAL_GEMINI,PRIMARY,enriched,fg3,3,4,4,10,0.4,1.0,0.5714,,,A.1|A.3|B.2|B.4
ORIGINAL_GEMINI,PRIMARY,enriched,fg4,1,1,3,6,0.1667,0.3333,0.2222,,,A.1|B.2|B.4
ORIGINAL_GEMINI,PRIMARY,enriched,fg4,2,3,5,6,0.5,0.6,0.5455,,,A.1|A.2|B.2|B.4|C.1
ORIGINAL_GEMINI,PRIMARY,enriched,fg4,3,1,3,6,0.1667,0.3333,0.2222,,,A.1|B.2|B.4
ORIGINAL_GEMINI,PRIMARY,enriched,fg5,1,4,4,5,0.8,1.0,0.8889,,,A.1|B.2|B.4|C.3
ORIGINAL_GEMINI,PRIMARY,enriched,fg5,2,3,4,5,0.6,0.75,0.6667,,,A.1|A.3|B.2|B.4
ORIGINAL_GEMINI,PRIMARY,enriched,fg5,3,2,2,5,0.4,1.0,0.5714,,,A.1|B.2
OCA_REMOVE_A1_ONLY,POST_RESULT_HUMAN_ADJUDICATED_SENSITIVITY,demographics-only,fg1,1,2,2,8,0.25,1.0,0.4,,,A.1|B.2
OCA_REMOVE_A1_ONLY,POST_RESULT_HUMAN_ADJUDICATED_SENSITIVITY,demographics-only,fg1,2,4,4,8,0.5,1.0,0.6667,,,A.1|B.2|B.4|C.3
OCA_REMOVE_A1_ONLY,POST_RESULT_HUMAN_ADJUDICATED_SENSITIVITY,demographics-only,fg1,3,2,2,8,0.25,1.0,0.4,,,A.1|B.2
OCA_REMOVE_A1_ONLY,POST_RESULT_HUMAN_ADJUDICATED_SENSITIVITY,demographics-only,fg2,1,4,5,7,0.5714,0.8,0.6666,,,A.1|A.3|B.2|B.4|C.3
OCA_REMOVE_A1_ONLY,POST_RESULT_HUMAN_ADJUDICATED_SENSITIVITY,demographics-only,fg2,2,1,2,7,0.1429,0.5,0.2223,,,A.1|B.2
OCA_REMOVE_A1_ONLY,POST_RESULT_HUMAN_ADJUDICATED_SENSITIVITY,demographics-only,fg2,3,3,4,7,0.4286,0.75,0.5455,,,A.1|B.2|B.4|C.3
OCA_REMOVE_A1_ONLY,POST_RESULT_HUMAN_ADJUDICATED_SENSITIVITY,demographics-only,fg3,1,1,1,10,0.1,1.0,0.1818,,,A.1
OCA_REMOVE_A1_ONLY,POST_RESULT_HUMAN_ADJUDICATED_SENSITIVITY,demographics-only,fg3,2,1,1,10,0.1,1.0,0.1818,,,A.1
OCA_REMOVE_A1_ONLY,POST_RESULT_HUMAN_ADJUDICATED_SENSITIVITY,demographics-only,fg3,3,1,1,10,0.1,1.0,0.1818,,,A.1
