cluster_id,cluster_label,first_seen_unit,n_units_present,units_present,raised_by,raised_by_both_coders,centrality_note
C01,THE SAFE CHOICE IS TO SETTLE FOR SOCIAL EXPECTATIONS,U01,4,U01|U03|U05|U07,Coder_A|Coder_B,1,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
C02,STEPPING OUTSIDE THE NORM LEADS TO BEING QUESTIONED (AS A BACKLASH) OR A DEMAND TO REAFFIRM MASCULINITY,U01,5,U01|U03|U05|U06|U07,Coder_A|Coder_B,1,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
C03,"EATING MEAT IS IRRELEVANT TO ONE'S IDENTITY, NOT GENDERED",U01,3,U01|U02|U04,Coder_A,0,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
C04,"EATING MEAT IS A HABIT, WHAT WAS COOKED AT HOME OR THE NORMAL THING TO DO",U01,4,U01|U02|U03|U07,Coder_A|Coder_B,1,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
C05,BEING A MAN IS TIED TO WHAT MOST MEN USUALLY DO,U01,2,U01|U03,Coder_A|Coder_B,1,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
C06,"THE PRESSURE TO CONFORM TO MASCULINE BEHAVIORS IS SUBTLE OR IMPLICIT, BUT EXISTS AND CARRIES CERTAIN EXPECTATIONS THAT ARE NORMALISED",U01,5,U01|U03|U05|U06|U07,Coder_A|Coder_B,1,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
C07,CONSIDERING THAT YOU EAT MEAT JUST BECAUSE YOU'RE A MAN IS NONSENSE,U01,3,U01|U02|U05,Coder_B,0,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
C08,EATING DECISIONS MAY BE BASED ON BODY OR HEALTH PERCEPTIONS OR PERSONAL BELIEFS,U02,2,U02|U07,Coder_A|Coder_B,1,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
C09,IT'S SIMPLER—JUST EAT WHAT YOU CRAVE,U02,4,U02|U03|U04|U06,Coder_A|Coder_B,1,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
C10,"GENDER CONNECTED TO SPECIFIC EATING TOPICS (EG. EATING DISORDERS, PORTION SIZES, SALADS, ETC.)",U02,3,U02|U04|U05,Coder_A|Coder_B,1,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
C11,MEN DON'T WORRY ABOUT FOOD,U03,4,U03|U05|U06|U07,Coder_B,0,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
C12,SOCIAL PRESSURE IS DIFFERENT FROM CITIES TO SAMLL TOWNS,U05,1,U05,Coder_B,0,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
C13,OPT TO IGNORE SOCIAL EXPECTATIONS,U07,1,U07,Coder_A|Coder_B,1,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
C14,THE PERSON WHO COOKS LEADS THE DECISIONS (EG. THE WIFE),U07,1,U07,Coder_B,0,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
C15,AVAILABILITY OF OPTIONS IS IMPORTANT,U07,1,U07,Coder_A|Coder_B,1,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
C16,WOMEN ARE MORE JUDGED AND HAVE TO EXPLAIN THEMSELVES WAY MORE THAN MEN WHEN IT COMES TO THEIR FOOD CHOICES,U06,1,U06,Coder_A,0,NOT_AVAILABLE — CENTRALITY_NOT_ASSESSED
