side,physical_run,condition,fg,canonical_replication_index,metric_id,registry_status,value,numerator,denominator,namespace,caveat
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,words_per_turn_median,registry,270,,27,_comparable_window,report with IQR and the full distribution; never the mean alone
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,words_per_turn_iqr,registry,68.0,,27,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,short_turn_proportion_25w,registry,0.0,0,27,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,short_turn_proportion_10w,registry,0.0,0,27,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,short_turn_proportion_50w,registry,0.0,0,27,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,turn_balance_gini,registry,0.1333,,27,_comparable_window,raw per-participant turn vector retained in structural_distributions_long
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,word_balance_gini,registry,0.1816,,7034,_comparable_window,raw per-participant word vector retained in structural_distributions_long
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,moderator_turn_share,registry,0.4,18,45,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,moderator_word_share,registry,0.1681,1421,8455,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,participant_participant_adjacency,registry,0.2045,9,44,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,reference_density,registry,0.8148,22,27,_comparable_window,"DIAGNOSTIC. Explicit first-name token match on the run roster only: misses pronominal, positional and indirect reference, so it understates real referencing. No roster name required exclusion."
