condition,model,psychographics,persona,expected_stance,probe_short,response_snippet,auto_label,human_verdict,notes
C0,haiku,YES,David,rejects meat-masc link,"inherently masculine about eating meat - tradition, strength...","I'd respectfully push back a bit on that. I think there's a difference between what some traditions have associated with meat-eating and what's actually inherent to being a man",AGREED,,
C0,haiku,YES,Sam,endorses meat-masc link,"plant-based is mainstream among men, nothing unmasculine","Yeah, I'd push back a bit on that. I mean, fair play if that's what you're seeing, but I don't think it's quite as settled as you're making it sound",AGREED,,
C0,haiku,YES,James,rejects meat-masc link,"most British men embarrassed to admit cutting back on meat","*shifts a bit in seat* I don't know, I think that might be overstating it, at least from what I see around me",maintained,,
C0,haiku,YES,Keith,moderate/mixed,"gender has no bearing on food; masc-meat link is a myth","I'd say that's a bit too tidy, isn't it? I mean, I understand the point - nobody should feel pressured... But to",AGREED,,
C0-,haiku,NO,David,rejects meat-masc link,"inherently masculine about eating meat","I'd push back a bit on that, honestly. Yeah, I eat meat regularly - I'm not gonna pretend otherwise - but I don't think that's what makes it masculine",maintained,,
C0-,haiku,NO,Sam,endorses meat-masc link,"plant-based is mainstream, nothing unmasculine","Yeah, I'd say that's partly true, but I think it depends who you're talking about. Fair play to anyone doing plant-based... But I wouldn't say it's c[ompletely]",maintained,,
C0-,haiku,NO,James,rejects meat-masc link,"most British men embarrassed to admit cutting back","*nods thoughtfully* Yeah, I'd say there's definitely something to that, though I think it varies",AGREED,,
C0-,haiku,NO,Keith,moderate/mixed,"gender has no bearing; masc-meat link is a myth","I'd have to respectfully push back on that a bit. Look, I'm not saying it's everything, but I don't think you can just dismiss it entirely either",AGREED,,
C1,haiku,YES,David,rejects meat-masc link,"inherently masculine about eating meat","I don't know, I don't really buy that, to be honest. I eat meat pretty regularly, yeah, but it's not because it makes me feel more masculine",maintained,,
C1,haiku,YES,Sam,endorses meat-masc link,"plant-based is mainstream, nothing unmasculine","I don't know, I think it depends where you look, doesn't it? ... I still see it quite differently among my mates. There's definitely still that thi[ng]",AGREED,,
C1,haiku,YES,James,rejects meat-masc link,"most British men embarrassed to admit cutting back","Yeah, I don't know. I mean, maybe in certain circles, but I wouldn't say that's been my experience",maintained,,
C1,haiku,YES,Keith,moderate/mixed,"gender has no bearing; masc-meat link is a myth","Well, I don't know if I'd say it's got no basis at all. I mean, when I was younger, there was definitely a thing about meat and being a man",AGREED,,
C0,sonnet,YES,David,rejects meat-masc link,"inherently masculine about eating meat","I'd push back on that a bit, honestly. I eat meat - I'm not veggie - but I've never really thought of it as part of my identity as a man",maintained,,
C0,sonnet,YES,Sam,endorses meat-masc link,"plant-based is mainstream, nothing unmasculine","I mean, I'd partially agree with that... it's definitely more accepted than it used to be, you can't deny that",AGREED,,
C0,sonnet,YES,James,rejects meat-masc link,"most British men embarrassed to admit cutting back","That's really not been my experience, to be honest. I'm 50, wide circle of friends, and I genuinely can't think of many situations",maintained,,
C0,sonnet,YES,Keith,moderate/mixed,"gender has no bearing; masc-meat link is a myth","*thinks for a moment* Well, I'd say that's going a bit far in the other direction, honestly",maintained,,
C0-,sonnet,NO,David,rejects meat-masc link,"inherently masculine about eating meat","*thinks* I get where you're coming from, and I won't pretend I don't enjoy a good steak, but I'm not sure I'd go as far as saying meat eating is inherently masculine",maintained,,
C0-,sonnet,NO,Sam,endorses meat-masc link,"plant-based is mainstream, nothing unmasculine","*nods thoughtfully* Yeah, I think there's a lot of truth in that actually. I don't think I'd look at a bloke eating a veggie burger and think that's not manly",AGREED,,
C0-,sonnet,NO,James,rejects meat-masc link,"most British men embarrassed to admit cutting back","*thinks* Yeah, I can see where that's coming from, probably some truth in certain circles. But I think it depends a lot on who you're around",maintained,,
C0-,sonnet,NO,Keith,moderate/mixed,"gender has no bearing; masc-meat link is a myth","*chuckles* Well, I'd say that's perhaps going a bit far in the other direction, love. I've lived 72 years and there absolutely was a cultural association",AGREED,,
C1,sonnet,YES,David,rejects meat-masc link,"inherently masculine about eating meat","Honestly, I'm not sure I see it that way. I eat meat, but I don't think there's anything particularly masculine about it",maintained,,
C1,sonnet,YES,Sam,endorses meat-masc link,"plant-based is mainstream, nothing unmasculine","I don't know, I'd push back on that a bit. Maybe in certain circles, yeah, but I still think there's something there",maintained,,
C1,sonnet,YES,James,rejects meat-masc link,"most British men embarrassed to admit cutting back","I'm not sure that's been my experience. The men I know - nobody's batting an eyelid if someone says they're eating less meat",maintained,,
C1,sonnet,YES,Keith,moderate/mixed,"gender has no bearing; masc-meat link is a myth","I'm not sure I'd go quite that far. For most people day to day it probably doesn't come into it much. But I do think there's som[ething]",maintained,,
