stratum,fg,source,question_headers_found,first_entry_index,last_entry_index,opens_with_moderator,opening_text,next_header_after,closing_boundary,verdict,problem,entries,moderator_turns,participant_turns,total_words,participant_words,distinct_participants,segmentation_warnings,entries_dropped_outside_window,comparable_window_first,comparable_window_last,state_crosscheck_conflicts
human,fg1,human/fg1,1|2|3|4|5,22,31,True,Question 3. Do you think your gender influences what you eat? Tell us more about why or why not?,4,next Question header,OK,,10,1,9,481,462,5,,,,,
human,fg2,human/fg2,1|2|3|4|5,12,17,True,Question 3. Do you think your gender influences what you eat? Tell us more about why or why not?,4,next Question header,OK,,6,1,5,274,255,5,,,,,
human,fg3,human/fg3,1|2|3|4|5,24,55,True,Question 3. Do you think your gender influences what you eat? Tell us more about why or why not?,4,next Question header,OK,,32,1,31,2385,2366,5,,,,,
human,fg4,human/fg4,1|2|3|4|5,17,22,True,Question 3. Do you think your gender influences what you eat? Tell us more about why or why not?,4,next Question header,OK,,6,1,5,537,518,3,,,,,
human,fg5,human/fg5,1|2|3|5,53,90,True,Question 3. Do you think your gender influences what you eat? Tell us more about why or why not?,5,next Question header,OK,,38,2,36,2418,2379,4,,,,,
enriched,fg1,macho_meals_fg1_run02,,26,33,True,"So we've got a bit of a spectrum there — habit and not much conscious thought from Ibrahim, constraint and provenance from Will, somewhere in between ",,,OK,,8,2,6,1588,1476,3,,0,7,53,0
enriched,fg2,macho_meals_fg2_run02,,25,37,True,"Yeah, that idea of it being a bit more complicated than it first appears — that's come through from a few of you. Let's move on to something that sits",,,OK,,13,4,9,2212,2028,5,,0,6,66,0
enriched,fg3,macho_meals_fg3_run02,,20,25,True,That distinction John just drew — busy versus not bothering — feels like it lands somewhere real. I want to move us on to something connected. You've ,,,OK,,6,2,4,1177,1057,2,,0,8,42,0
enriched,fg4,macho_meals_fg4_run04,,22,31,True,"Gregor, that's a useful way to put it — and that observation about the noise around it, the blokes at the pub, people feeling judged either way — that",,,OK,,10,3,7,2001,1790,3,,0,7,54,0
enriched,fg5,macho_meals_fg5_run03,,26,44,True,"So across all four of you there's a pretty consistent thread — you know what you value, you know what feels right, and then most of the time the super",,,OK,,19,7,12,3156,2701,4,,0,8,65,0
demographics-only,fg1,macho_meals_fg1_demoonly_run02,,20,31,True,"There's something interesting in that distinction you're both drawing — whether the awareness of other options actually changes anything, or whether i",,,OK,,12,4,8,2185,1853,3,,0,6,57,0
demographics-only,fg2,macho_meals_fg2_demoonly_run02,,15,29,True,"Yeah, the geography of it is real — when you're already spread across a big city, the distance becomes its own kind of tax on top of everything else. ",,,OK,,15,6,9,2338,2022,5,,0,2,57,0
demographics-only,fg3,macho_meals_fg3_demoonly_run02,,19,26,True,"Nick, that's a different position to what a few of the others were describing — and I think that tension's actually worth sitting with. There's someth",,,OK,,8,3,5,1509,1261,3,,0,6,53,0
demographics-only,fg4,macho_meals_fg4_demoonly_run02,,19,27,True,"Yeah — just living, not overthinking it. That comes through from all three of you actually, in different ways. Whether it's routine you've chosen, rou",,,OK,,9,3,6,1250,1097,3,,0,4,45,0
demographics-only,fg5,macho_meals_fg5_demoonly_run02,,18,29,True,"Fletcher, that's a useful way to put it — circumstance shapes the odds, but the choice is still there. Let me pick up that thread and take it somewher",,,OK,,12,5,7,1887,1689,4,,0,10,60,0
