blinded_document_id,subtheme_id,parent_theme,auditor_verdict,category,n_gemini_quotations,gemini_audit_turns,claude_turns
DOC_044D944A54,A.1,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,4,T033|T043|T047|T048,T033|T038
DOC_044D944A54,A.2,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,1,T029,T026|T029
DOC_044D944A54,A.3,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T025|T047,T025|T047
DOC_044D944A54,B.2,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,4,T048|T059|T066|T073,T035|T066
DOC_044D944A54,B.3,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T051|T099,T099
DOC_044D944A54,B.4,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,4,T057|T059|T060|T078,T057
DOC_044D944A54,C.1,C) 4N justifications against plant-based consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,3,T064|T065|T066,T064
DOC_044D944A54,C.2,C) 4N justifications against plant-based consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T099|T102,T099|T102
DOC_044D944A54,C.3,C) 4N justifications against plant-based consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,5,T059|T060|T063|T067|T068,T063
DOC_044D944A54,D,D) Extreme cases,AUDITOR_UNRESOLVED,SAME_TURN_SAME_SPEAKER,3,T057|T058|T059,T059
DOC_0D65F24445,A.1,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T023|T024,T023
DOC_106A064A5F,A.1,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,4,T019|T020|T025|T036,T019
DOC_106A064A5F,B.2,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,4,T019|T020|T026|T027,T019|T020
DOC_106A064A5F,B.4,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,1,T032,T032
DOC_106A064A5F,C.3,C) 4N justifications against plant-based consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,1,T032,T032
