cluster_id,cluster_label,closest_codebook_subtheme,relationship,notes
C01,THE SAFE CHOICE IS TO SETTLE FOR SOCIAL EXPECTATIONS,,,
C02,STEPPING OUTSIDE THE NORM LEADS TO BEING QUESTIONED (AS A BACKLASH) OR A DEMAND TO REAFFIRM MASCULINITY,,,
C03,"EATING MEAT IS IRRELEVANT TO ONE'S IDENTITY, NOT GENDERED",,,
C04,"EATING MEAT IS A HABIT, WHAT WAS COOKED AT HOME OR THE NORMAL THING TO DO",,,
C05,BEING A MAN IS TIED TO WHAT MOST MEN USUALLY DO,,,
C06,"THE PRESSURE TO CONFORM TO MASCULINE BEHAVIORS IS SUBTLE OR IMPLICIT, BUT EXISTS AND CARRIES CERTAIN EXPECTATIONS THAT ARE NORMALISED",,,
C07,CONSIDERING THAT YOU EAT MEAT JUST BECAUSE YOU'RE A MAN IS NONSENSE,,,
C08,EATING DECISIONS MAY BE BASED ON BODY OR HEALTH PERCEPTIONS OR PERSONAL BELIEFS,,,
C09,IT'S SIMPLER—JUST EAT WHAT YOU CRAVE,,,
C10,"GENDER CONNECTED TO SPECIFIC EATING TOPICS (EG. EATING DISORDERS, PORTION SIZES, SALADS, ETC.)",,,
C11,MEN DON'T WORRY ABOUT FOOD,,,
C12,SOCIAL PRESSURE IS DIFFERENT FROM CITIES TO SAMLL TOWNS,,,
C13,OPT TO IGNORE SOCIAL EXPECTATIONS,,,
C14,THE PERSON WHO COOKS LEADS THE DECISIONS (EG. THE WIFE),,,
C15,AVAILABILITY OF OPTIONS IS IMPORTANT,,,
C16,WOMEN ARE MORE JUDGED AND HAVE TO EXPLAIN THEMSELVES WAY MORE THAN MEN WHEN IT COMES TO THEIR FOOD CHOICES,,,
