condition,fg,canonical_replication_index,physical_run,run_dir_present,config_present,transcript_parseable,transcript_entries,transcript_words,moderator_turns,participant_turns,moderator_words,participant_words,empty_content_entries,last_state_file,final_state_parseable,current_section_index,guide_sections,sections_completed,all_sections_completed,inject_participant_intro,participation_mode,moderator_model,temperature,participant_response_max_tokens,session_id,run_label,total_turns,state_roster,state_roster_n,config_roster,roster_matches_config,participants_who_spoke,silent_participants,all_participants_contributed,section_transitions,moderator_log_entries,termination,transcript_sha256,config_sha256,final_state_sha256,guide_yaml_sha256,guide_in_config_sha256,agents_sha256_combined,agents_resolved,agents_missing,moderator_prompt_override,moderator_prompt_sha256,verdict,engagement_retry_path_available,forced_silences,forced_silence_rate,n_findings,hard_exclusions,material_warnings,runtime_warnings,finding_detail,archive_reason
enriched,fg1,1,macho_meals_fg1_run01,True,True,True,72,11433,25,47,1539,9894,0,state_turn_48.json,True,6,7,7,True,False,emergent,claude-sonnet-4-6,1.0,800,macho_meals_fg1_run01,run01,48,mm_fg1_amir|mm_fg1_david|mm_fg1_ibrahim|mm_fg1_isaiah|mm_fg1_will,5,mm_fg1_amir|mm_fg1_david|mm_fg1_ibrahim|mm_fg1_isaiah|mm_fg1_will,True,5,,True,7,48,natural,92f648dc06db1824f5ea4562441510cedc49984cf4a6481749b0564d4d9b4ea2,088503bd3022a16e94905c8077e79650936740bcf0df3f291c9303c1ceb4a6e9,e4f7f6388e006798861e19a7329027666b728114e7d6a4a8ac034dbf102b8d82,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,71dd71ad68fc2f66959c1e382ef69ae48fbfc940e074ac3909e34d179ed817a6,5,0,sandbox/01_MODERATOR_SYSTEM_PROMPT_MINIMAL.md,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10,PASS_WITH_WARNINGS,False,6,0.0291,2,,ENGAGEMENT_RETRY_PATH_ABSENT|FORCED_SILENCES_PRESENT,,"[MATERIAL_COMPARABILITY_WARNING] ENGAGEMENT_RETRY_PATH_ABSENT: Run executed the pre-fix engagement path: any engagement validation fault silenced the participant immediately, with no retry. Runs in the other condition executed the post-fix path (retry, then silence). Participation-dependent metrics are not like-for-like across conditions. ;; [MATERIAL_COMPARABILITY_WARNING] FORCED_SILENCES_PRESENT: 6 participant speaking opportunit(ies) suppressed by a technical fault rather than a modelled choice (0.0291 of engagement assessments).",
enriched,fg1,2,macho_meals_fg1_run02,True,True,True,57,8653,19,38,1123,7530,0,state_turn_39.json,True,6,7,7,True,False,emergent,claude-sonnet-4-6,1.0,800,macho_meals_fg1_run02,run02,39,mm_fg1_amir|mm_fg1_david|mm_fg1_ibrahim|mm_fg1_isaiah|mm_fg1_will,5,mm_fg1_amir|mm_fg1_david|mm_fg1_ibrahim|mm_fg1_isaiah|mm_fg1_will,True,5,,True,7,39,natural,3a408cb2fb8b36829a6aba297387ef2b8acba86c8f39a1ac111c2279015c615e,754d2a44f018aa251fc8c7af15ebe31e24274a3c2955825dc59017e10ff199d1,12dde557eb4552a54e7d2220770e78647088cf434309545ef2339ae3a030a2c4,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,71dd71ad68fc2f66959c1e382ef69ae48fbfc940e074ac3909e34d179ed817a6,5,0,sandbox/01_MODERATOR_SYSTEM_PROMPT_MINIMAL.md,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10,PASS_WITH_WARNINGS,False,4,0.0235,2,,ENGAGEMENT_RETRY_PATH_ABSENT|FORCED_SILENCES_PRESENT,,"[MATERIAL_COMPARABILITY_WARNING] ENGAGEMENT_RETRY_PATH_ABSENT: Run executed the pre-fix engagement path: any engagement validation fault silenced the participant immediately, with no retry. Runs in the other condition executed the post-fix path (retry, then silence). Participation-dependent metrics are not like-for-like across conditions. ;; [MATERIAL_COMPARABILITY_WARNING] FORCED_SILENCES_PRESENT: 4 participant speaking opportunit(ies) suppressed by a technical fault rather than a modelled choice (0.0235 of engagement assessments).",
enriched,fg1,3,macho_meals_fg1_run03,True,True,True,59,9985,19,40,1222,8763,0,state_turn_41.json,True,6,7,7,True,False,emergent,claude-sonnet-4-6,1.0,800,macho_meals_fg1_run03,run03,41,mm_fg1_amir|mm_fg1_david|mm_fg1_ibrahim|mm_fg1_isaiah|mm_fg1_will,5,mm_fg1_amir|mm_fg1_david|mm_fg1_ibrahim|mm_fg1_isaiah|mm_fg1_will,True,5,,True,7,41,natural,180cf92d887ffa752b9dc5059d3feabe1bf6275cfb440eed8c533907f492fd7a,be94cb06886d724bed686ed5cc2c2b4267e28d0210c656e12a78dba59a626417,6d3917388f3b2e8d99e596d36c6c62a77dfbec8ee6d1d6ce8a6be76e5f084cf7,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,71dd71ad68fc2f66959c1e382ef69ae48fbfc940e074ac3909e34d179ed817a6,5,0,sandbox/01_MODERATOR_SYSTEM_PROMPT_MINIMAL.md,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10,PASS_WITH_WARNINGS,False,6,0.0341,2,,ENGAGEMENT_RETRY_PATH_ABSENT|FORCED_SILENCES_PRESENT,,"[MATERIAL_COMPARABILITY_WARNING] ENGAGEMENT_RETRY_PATH_ABSENT: Run executed the pre-fix engagement path: any engagement validation fault silenced the participant immediately, with no retry. Runs in the other condition executed the post-fix path (retry, then silence). Participation-dependent metrics are not like-for-like across conditions. ;; [MATERIAL_COMPARABILITY_WARNING] FORCED_SILENCES_PRESENT: 6 participant speaking opportunit(ies) suppressed by a technical fault rather than a modelled choice (0.0341 of engagement assessments).",
enriched,fg2,1,macho_meals_fg2_run01,True,True,True,55,7680,18,37,1153,6527,0,state_turn_38.json,True,6,7,7,True,False,emergent,claude-sonnet-4-6,1.0,800,macho_meals_fg2_run01,run01,38,mm_fg2_bilal|mm_fg2_connor|mm_fg2_henry|mm_fg2_noah|mm_fg2_sam,5,mm_fg2_bilal|mm_fg2_connor|mm_fg2_henry|mm_fg2_noah|mm_fg2_sam,True,5,,True,7,38,natural,aa83a9479f5c9be9874bd91b1aea4b820e6f1035c60604d5a8b6763374919170,0263480dbdd126a204ab14baf3d9d9815ff9c11295f72c223c3c132218aadf81,6979733e744742e6c18a86e2da28b799f72757eb0ebc56945292173ca738613b,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,db7786cb66c7c908a5b09db27ca03703ecd049156a743f2cbd80e804cc3f273d,5,0,sandbox/01_MODERATOR_SYSTEM_PROMPT_MINIMAL.md,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10,PASS_WITH_WARNINGS,False,6,0.0364,2,,ENGAGEMENT_RETRY_PATH_ABSENT|FORCED_SILENCES_PRESENT,,"[MATERIAL_COMPARABILITY_WARNING] ENGAGEMENT_RETRY_PATH_ABSENT: Run executed the pre-fix engagement path: any engagement validation fault silenced the participant immediately, with no retry. Runs in the other condition executed the post-fix path (retry, then silence). Participation-dependent metrics are not like-for-like across conditions. ;; [MATERIAL_COMPARABILITY_WARNING] FORCED_SILENCES_PRESENT: 6 participant speaking opportunit(ies) suppressed by a technical fault rather than a modelled choice (0.0364 of engagement assessments).",
enriched,fg2,2,macho_meals_fg2_run02,True,True,True,70,10798,22,48,1459,9339,0,state_turn_49.json,True,6,7,7,True,False,emergent,claude-sonnet-4-6,1.0,800,macho_meals_fg2_run02,run02,49,mm_fg2_bilal|mm_fg2_connor|mm_fg2_henry|mm_fg2_noah|mm_fg2_sam,5,mm_fg2_bilal|mm_fg2_connor|mm_fg2_henry|mm_fg2_noah|mm_fg2_sam,True,5,,True,7,49,natural,2f87ce5c35a77ea04e49f50cb33814b78a520724597d6f741017ceaeeb8eeda8,7b79dbf4093afc8089e3cd06eb670b0cb08a8142cbbcd24ea1bf292df69c97ef,af8298ac36b5210555f5ac45a1551086c2be21abf53795dd44149412f13f7dbb,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,db7786cb66c7c908a5b09db27ca03703ecd049156a743f2cbd80e804cc3f273d,5,0,sandbox/01_MODERATOR_SYSTEM_PROMPT_MINIMAL.md,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10,PASS_WITH_WARNINGS,False,3,0.0139,2,,ENGAGEMENT_RETRY_PATH_ABSENT|FORCED_SILENCES_PRESENT,,"[MATERIAL_COMPARABILITY_WARNING] ENGAGEMENT_RETRY_PATH_ABSENT: Run executed the pre-fix engagement path: any engagement validation fault silenced the participant immediately, with no retry. Runs in the other condition executed the post-fix path (retry, then silence). Participation-dependent metrics are not like-for-like across conditions. ;; [MATERIAL_COMPARABILITY_WARNING] FORCED_SILENCES_PRESENT: 3 participant speaking opportunit(ies) suppressed by a technical fault rather than a modelled choice (0.0139 of engagement assessments).",
enriched,fg2,3,macho_meals_fg2_run03,True,True,True,62,9863,20,42,1164,8699,0,state_turn_43.json,True,6,7,7,True,False,emergent,claude-sonnet-4-6,1.0,800,macho_meals_fg2_run03,run03,43,mm_fg2_bilal|mm_fg2_connor|mm_fg2_henry|mm_fg2_noah|mm_fg2_sam,5,mm_fg2_bilal|mm_fg2_connor|mm_fg2_henry|mm_fg2_noah|mm_fg2_sam,True,5,,True,7,43,natural,120dcb1a3674630d9ac2e77cdb68f19d92ab845f191044f2f5f948ede2cb4c4a,5a46a091be70b68f6a6106cd1a5cab1202e5e5162e1e0ace90d00d5c954901fd,d6b7dcfc3a168b2e14fb05557d998a941e663d75c3b6e9f3e96b253e2efc1350,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,db7786cb66c7c908a5b09db27ca03703ecd049156a743f2cbd80e804cc3f273d,5,0,sandbox/01_MODERATOR_SYSTEM_PROMPT_MINIMAL.md,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10,PASS_WITH_WARNINGS,False,3,0.0161,2,,ENGAGEMENT_RETRY_PATH_ABSENT|FORCED_SILENCES_PRESENT,,"[MATERIAL_COMPARABILITY_WARNING] ENGAGEMENT_RETRY_PATH_ABSENT: Run executed the pre-fix engagement path: any engagement validation fault silenced the participant immediately, with no retry. Runs in the other condition executed the post-fix path (retry, then silence). Participation-dependent metrics are not like-for-like across conditions. ;; [MATERIAL_COMPARABILITY_WARNING] FORCED_SILENCES_PRESENT: 3 participant speaking opportunit(ies) suppressed by a technical fault rather than a modelled choice (0.0161 of engagement assessments).",
enriched,fg3,1,macho_meals_fg3_run01,True,True,True,63,11849,23,40,1586,10263,0,state_turn_41.json,True,6,7,7,True,False,emergent,claude-sonnet-4-6,1.0,800,macho_meals_fg3_run01,run01,41,mm_fg3_andrew|mm_fg3_daniel|mm_fg3_john|mm_fg3_nick|mm_fg3_paul,5,mm_fg3_andrew|mm_fg3_daniel|mm_fg3_john|mm_fg3_nick|mm_fg3_paul,True,5,,True,7,41,natural,06f128afec91e0d8bb98a64f464a4d8393b577be04559745837d99f56aef41e7,3780f94acbb91398937739715a93cc3f4dbd20e012d48abc511d74b34a4ab2e5,cb554f9436be5fa44edf8ce19d44f0bd05bffe9b1b4485207902ab1c010591c7,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,8492e4d368c90c822dbd7e6f5b8689c2b13404d93102f6c4b3e716a35197da2c,5,0,sandbox/01_MODERATOR_SYSTEM_PROMPT_MINIMAL.md,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10,PASS_WITH_WARNINGS,False,4,0.0227,2,,ENGAGEMENT_RETRY_PATH_ABSENT|FORCED_SILENCES_PRESENT,,"[MATERIAL_COMPARABILITY_WARNING] ENGAGEMENT_RETRY_PATH_ABSENT: Run executed the pre-fix engagement path: any engagement validation fault silenced the participant immediately, with no retry. Runs in the other condition executed the post-fix path (retry, then silence). Participation-dependent metrics are not like-for-like across conditions. ;; [MATERIAL_COMPARABILITY_WARNING] FORCED_SILENCES_PRESENT: 4 participant speaking opportunit(ies) suppressed by a technical fault rather than a modelled choice (0.0227 of engagement assessments).",
enriched,fg3,2,macho_meals_fg3_run02,True,True,True,47,7564,15,32,1019,6545,0,state_turn_33.json,True,6,7,7,True,False,emergent,claude-sonnet-4-6,1.0,800,macho_meals_fg3_run02,run02,33,mm_fg3_andrew|mm_fg3_daniel|mm_fg3_john|mm_fg3_nick|mm_fg3_paul,5,mm_fg3_andrew|mm_fg3_daniel|mm_fg3_john|mm_fg3_nick|mm_fg3_paul,True,5,,True,7,33,natural,f67de4921c356643d3f97f14422eccbe270f6e297057920f47383b55cb360832,21349cec73d8afcaee88b98445395ba617a5fa683f1c741acafc17928c961347,28d97e9f84834d6ead2bea19f306d54de889a77723736be3ec29a672b7abe57f,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,8492e4d368c90c822dbd7e6f5b8689c2b13404d93102f6c4b3e716a35197da2c,5,0,sandbox/01_MODERATOR_SYSTEM_PROMPT_MINIMAL.md,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10,PASS_WITH_WARNINGS,False,3,0.0208,2,,ENGAGEMENT_RETRY_PATH_ABSENT|FORCED_SILENCES_PRESENT,,"[MATERIAL_COMPARABILITY_WARNING] ENGAGEMENT_RETRY_PATH_ABSENT: Run executed the pre-fix engagement path: any engagement validation fault silenced the participant immediately, with no retry. Runs in the other condition executed the post-fix path (retry, then silence). Participation-dependent metrics are not like-for-like across conditions. ;; [MATERIAL_COMPARABILITY_WARNING] FORCED_SILENCES_PRESENT: 3 participant speaking opportunit(ies) suppressed by a technical fault rather than a modelled choice (0.0208 of engagement assessments).",
enriched,fg3,3,macho_meals_fg3_run03,True,True,True,60,9704,20,40,1504,8200,0,state_turn_41.json,True,6,7,7,True,False,emergent,claude-sonnet-4-6,1.0,800,macho_meals_fg3_run03,run03,41,mm_fg3_andrew|mm_fg3_daniel|mm_fg3_john|mm_fg3_nick|mm_fg3_paul,5,mm_fg3_andrew|mm_fg3_daniel|mm_fg3_john|mm_fg3_nick|mm_fg3_paul,True,5,,True,7,41,natural,38ff01260666915fd2e06f8d6cfb41356b54ad28f10d4316e4190f5126e169f7,34d4b3d1baf49d0f520cbd68ba34c1094c8ffc6b16f955699c29cb99cdb092be,0bb261a55160cffaf48c434e8c9b3592468bee420daff7cc46c59fc4aa620e39,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,8492e4d368c90c822dbd7e6f5b8689c2b13404d93102f6c4b3e716a35197da2c,5,0,sandbox/01_MODERATOR_SYSTEM_PROMPT_MINIMAL.md,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10,PASS_WITH_WARNINGS,False,4,0.0213,2,,ENGAGEMENT_RETRY_PATH_ABSENT|FORCED_SILENCES_PRESENT,,"[MATERIAL_COMPARABILITY_WARNING] ENGAGEMENT_RETRY_PATH_ABSENT: Run executed the pre-fix engagement path: any engagement validation fault silenced the participant immediately, with no retry. Runs in the other condition executed the post-fix path (retry, then silence). Participation-dependent metrics are not like-for-like across conditions. ;; [MATERIAL_COMPARABILITY_WARNING] FORCED_SILENCES_PRESENT: 4 participant speaking opportunit(ies) suppressed by a technical fault rather than a modelled choice (0.0213 of engagement assessments).",
enriched,fg4,1,macho_meals_fg4_run01,True,True,True,43,6476,14,29,763,5713,0,state_turn_30.json,True,6,7,7,True,False,emergent,claude-sonnet-4-6,1.0,800,macho_meals_fg4_run01,run01,30,mm_fg4_gregor|mm_fg4_james|mm_fg4_mark,3,mm_fg4_gregor|mm_fg4_james|mm_fg4_mark,True,3,,True,7,30,natural,8eb0cd914cf13d2a1b30492d2671d9abf80190ba748c1a35d70f9d3596927ee3,4cd152e2f5e8ee76d74e3a7523523abfc00b209759e3f7dbdd0a9e05ee8057c8,29d2f657cf095cdd05e821375e2b10686593492f8a910f5f748df3e01e8f63bc,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,677ac45bdc92da33e03de8723065d29aa52e894a8cdd7e9fc8460058df601b9e,3,0,sandbox/01_MODERATOR_SYSTEM_PROMPT_MINIMAL.md,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10,PASS_WITH_WARNINGS,False,3,0.039,2,,ENGAGEMENT_RETRY_PATH_ABSENT|FORCED_SILENCES_PRESENT,,"[MATERIAL_COMPARABILITY_WARNING] ENGAGEMENT_RETRY_PATH_ABSENT: Run executed the pre-fix engagement path: any engagement validation fault silenced the participant immediately, with no retry. Runs in the other condition executed the post-fix path (retry, then silence). Participation-dependent metrics are not like-for-like across conditions. ;; [MATERIAL_COMPARABILITY_WARNING] FORCED_SILENCES_PRESENT: 3 participant speaking opportunit(ies) suppressed by a technical fault rather than a modelled choice (0.039 of engagement assessments).",
