physical_run,condition,fg,canonical_replication_index,metric_id,k_excerpts,k_reason,n_eligible_starts,mean,sd,min,max,n_undefined,target_words,achieved_words_mean,achieved_over_target_min,achieved_over_target_median,achieved_over_target_max,length_match_tolerance,n_excerpts_within_tolerance,namespace,caveat
macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,evidence_localized_length_matched_recall,10,,10,0.1,0.0,0.1,0.1,0,7631,7398.3,0.9164,0.9765,0.9988,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,evidence_localized_length_matched_precision,10,,10,1.0,0.0,1.0,1.0,0,7631,7398.3,0.9164,0.9765,0.9988,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,evidence_localized_length_matched_recall,10,,37,0.07,0.0483,0.0,0.1,0,7631,7543.6,0.9741,0.9897,0.9995,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,evidence_localized_length_matched_precision,10,,37,1.0,0.0,1.0,1.0,3,7631,7543.6,0.9741,0.9897,0.9995,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,evidence_localized_length_matched_recall,10,,11,0.1,0.0,0.1,0.1,0,7631,7419.8,0.9177,0.981,0.9986,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,evidence_localized_length_matched_precision,10,,11,1.0,0.0,1.0,1.0,0,7631,7419.8,0.9177,0.981,0.9986,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_run02,enriched,fg3,2,evidence_localized_length_matched_recall,1,window_shorter_than_target: the whole synthetic window (6231 words) is shorter than the target (7631); the full window is used as the single excerpt,1,0.3,,0.3,0.3,0,7631,6231,0.8165,0.8165,0.8165,0.9,0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_run02,enriched,fg3,2,evidence_localized_length_matched_precision,1,window_shorter_than_target: the whole synthetic window (6231 words) is shorter than the target (7631); the full window is used as the single excerpt,1,1.0,,1.0,1.0,0,7631,6231,0.8165,0.8165,0.8165,0.9,0,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg2_run01,enriched,fg2,1,evidence_localized_length_matched_recall,10,,27,0.2714,0.0452,0.1429,0.2857,0,2963,2855.9,0.9224,0.9647,0.9976,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg2_run01,enriched,fg2,1,evidence_localized_length_matched_precision,10,,27,0.55,0.1581,0.5,1.0,0,2963,2855.9,0.9224,0.9647,0.9976,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,evidence_localized_length_matched_recall,10,,43,0.1286,0.0452,0.0,0.1429,0,2963,2853,0.9062,0.9698,0.9956,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,evidence_localized_length_matched_precision,10,,43,0.6111,0.2205,0.5,1.0,1,2963,2853,0.9062,0.9698,0.9956,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
