condition,fg,canonical_replication_index,physical_run,session_id,run_label,verdict,transcript_entries,participant_turns,moderator_turns,roster_n,transcript_sha256,config_sha256,agents_sha256_combined,guide_in_config_sha256,guide_yaml_sha256,moderator_prompt_sha256
enriched,fg1,1,macho_meals_fg1_run01,macho_meals_fg1_run01,run01,PASS_WITH_WARNINGS,72,47,25,5,92f648dc06db1824f5ea4562441510cedc49984cf4a6481749b0564d4d9b4ea2,088503bd3022a16e94905c8077e79650936740bcf0df3f291c9303c1ceb4a6e9,71dd71ad68fc2f66959c1e382ef69ae48fbfc940e074ac3909e34d179ed817a6,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
enriched,fg1,2,macho_meals_fg1_run02,macho_meals_fg1_run02,run02,PASS_WITH_WARNINGS,57,38,19,5,3a408cb2fb8b36829a6aba297387ef2b8acba86c8f39a1ac111c2279015c615e,754d2a44f018aa251fc8c7af15ebe31e24274a3c2955825dc59017e10ff199d1,71dd71ad68fc2f66959c1e382ef69ae48fbfc940e074ac3909e34d179ed817a6,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
enriched,fg1,3,macho_meals_fg1_run03,macho_meals_fg1_run03,run03,PASS_WITH_WARNINGS,59,40,19,5,180cf92d887ffa752b9dc5059d3feabe1bf6275cfb440eed8c533907f492fd7a,be94cb06886d724bed686ed5cc2c2b4267e28d0210c656e12a78dba59a626417,71dd71ad68fc2f66959c1e382ef69ae48fbfc940e074ac3909e34d179ed817a6,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
enriched,fg2,1,macho_meals_fg2_run01,macho_meals_fg2_run01,run01,PASS_WITH_WARNINGS,55,37,18,5,aa83a9479f5c9be9874bd91b1aea4b820e6f1035c60604d5a8b6763374919170,0263480dbdd126a204ab14baf3d9d9815ff9c11295f72c223c3c132218aadf81,db7786cb66c7c908a5b09db27ca03703ecd049156a743f2cbd80e804cc3f273d,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
enriched,fg2,2,macho_meals_fg2_run02,macho_meals_fg2_run02,run02,PASS_WITH_WARNINGS,70,48,22,5,2f87ce5c35a77ea04e49f50cb33814b78a520724597d6f741017ceaeeb8eeda8,7b79dbf4093afc8089e3cd06eb670b0cb08a8142cbbcd24ea1bf292df69c97ef,db7786cb66c7c908a5b09db27ca03703ecd049156a743f2cbd80e804cc3f273d,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
enriched,fg2,3,macho_meals_fg2_run03,macho_meals_fg2_run03,run03,PASS_WITH_WARNINGS,62,42,20,5,120dcb1a3674630d9ac2e77cdb68f19d92ab845f191044f2f5f948ede2cb4c4a,5a46a091be70b68f6a6106cd1a5cab1202e5e5162e1e0ace90d00d5c954901fd,db7786cb66c7c908a5b09db27ca03703ecd049156a743f2cbd80e804cc3f273d,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
enriched,fg3,1,macho_meals_fg3_run01,macho_meals_fg3_run01,run01,PASS_WITH_WARNINGS,63,40,23,5,06f128afec91e0d8bb98a64f464a4d8393b577be04559745837d99f56aef41e7,3780f94acbb91398937739715a93cc3f4dbd20e012d48abc511d74b34a4ab2e5,8492e4d368c90c822dbd7e6f5b8689c2b13404d93102f6c4b3e716a35197da2c,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
enriched,fg3,2,macho_meals_fg3_run02,macho_meals_fg3_run02,run02,PASS_WITH_WARNINGS,47,32,15,5,f67de4921c356643d3f97f14422eccbe270f6e297057920f47383b55cb360832,21349cec73d8afcaee88b98445395ba617a5fa683f1c741acafc17928c961347,8492e4d368c90c822dbd7e6f5b8689c2b13404d93102f6c4b3e716a35197da2c,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
enriched,fg3,3,macho_meals_fg3_run03,macho_meals_fg3_run03,run03,PASS_WITH_WARNINGS,60,40,20,5,38ff01260666915fd2e06f8d6cfb41356b54ad28f10d4316e4190f5126e169f7,34d4b3d1baf49d0f520cbd68ba34c1094c8ffc6b16f955699c29cb99cdb092be,8492e4d368c90c822dbd7e6f5b8689c2b13404d93102f6c4b3e716a35197da2c,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
enriched,fg4,1,macho_meals_fg4_run01,macho_meals_fg4_run01,run01,PASS_WITH_WARNINGS,43,29,14,3,8eb0cd914cf13d2a1b30492d2671d9abf80190ba748c1a35d70f9d3596927ee3,4cd152e2f5e8ee76d74e3a7523523abfc00b209759e3f7dbdd0a9e05ee8057c8,677ac45bdc92da33e03de8723065d29aa52e894a8cdd7e9fc8460058df601b9e,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
