subtheme_id,doc_key,blinded_document_id,auditor_verdict,status,eligible_for_corroboration
A.1,human::fg3,DOC_044D944A54,AUDITOR_EVIDENCE_FOUND,SUBTHEME_CONTROL_DETECTED,True
A.2,human::fg4,DOC_DC66FA1DAE,AUDITOR_EVIDENCE_FOUND,SUBTHEME_CONTROL_DETECTED,True
A.3,human::fg2,DOC_C71426C1B1,AUDITOR_EVIDENCE_FOUND,SUBTHEME_CONTROL_DETECTED,True
B.1,human::fg1,DOC_87E9A953B6,AUDITOR_EVIDENCE_FOUND,SUBTHEME_CONTROL_DETECTED,True
B.2,human::fg1,DOC_87E9A953B6,AUDITOR_EVIDENCE_FOUND,SUBTHEME_CONTROL_DETECTED,True
B.3,human::fg3,DOC_044D944A54,AUDITOR_EVIDENCE_FOUND,SUBTHEME_CONTROL_DETECTED,True
B.4,human::fg5,DOC_5E8E19FE05,AUDITOR_EVIDENCE_FOUND,SUBTHEME_CONTROL_DETECTED,True
C.1,human::fg2,DOC_C71426C1B1,AUDITOR_EVIDENCE_FOUND,SUBTHEME_CONTROL_DETECTED,True
C.2,human::fg3,DOC_044D944A54,AUDITOR_EVIDENCE_FOUND,SUBTHEME_CONTROL_DETECTED,True
C.3,human::fg1,DOC_87E9A953B6,AUDITOR_EVIDENCE_FOUND,SUBTHEME_CONTROL_DETECTED,True
D,human::fg2,DOC_C71426C1B1,AUDITOR_EVIDENCE_FOUND,SUBTHEME_CONTROL_DETECTED,True
