question,raw_theme_id,rep1_cluster,rep2_cluster,resolution,final_cluster_id,rep1_justification,rep2_justification
1,RT_140E6FDA0337,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"The claim that shared practical tasks and projects create the conditions for deeper talk is not the sports-anchor claim nor the private-venue claim, and fits no cluster cleanly.",The claim that shared practical tasks create a low-pressure focus for deeper talk fits neither sports-based bonding nor the private-home-setting claim.
1,RT_15312ED66D3E,C18,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"It reports men consciously shifting away from meat toward plant-based eating for bodily health outcomes, the conscious-consumption claim.","The claim is that plant-based eating is adopted to treat a medical condition, a health-driven mechanism distinct from quality/sourcing consciousness or social policing of meat."
1,RT_1754C8F029DF,C14,C14,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C14,"It voices the downside of deep local rootedness, questioning whether staying embedded is security or a trap, part of the support-versus-constraint claim about close communities.","It questions whether embeddedness in a familiar local community is genuine security or a constraint that leaves people feeling trapped, matching the support-versus-pressure tension of local community life."
1,RT_1EC81A4D55B2,C4,C4,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C4,"It concerns social judgement and policing directed at people over meat consumption, the same substantive dynamic of dietary scrutiny in social circles.","The claim concerns social judgment attached to dietary choices around meat, the same policing dynamic seen from the meat-eater's side."
1,RT_20C897D0BDC7,C1,C1,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C1,"It asserts the pub's relaxed, flexible format makes it the superior default setting for catching up compared with other activities.","The claim is that the pub's relaxed flexibility makes it the space that best enables catching up, i.e. the pub's role as the primary low-barrier meeting place."
1,RT_3FF94C3AD9EC,C10,C10,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C10,"It claims plentiful city options fragment the group while a single regional venue keeps people together, the abundance-dilutes-connection argument.","It claims metropolitan abundance fragments socializing while a single regional venue keeps people together, the core choice-abundance-versus-connection argument."
1,RT_47CD42C535C1,C9,C9,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C9,"It attributes the failure to form local roots and community spaces to the character of the place (commuter, transient area), matching the claim that setting and infrastructure shape socializing.","The claim is that commuter-town infrastructure and transient populations shape whether roots and social spaces can form, a setting-determines-socializing argument."
1,RT_496F334B9AC7,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,The claim that the people matter more than the venue is orthogonal to every cluster's venue- or life-stage-specific claim.,The claim that the people rather than the venue carry the value does not map onto any single cluster's mechanism.
1,RT_4B1168CD9045,C16,C16,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C16,"The claim is that deliberate recurring gatherings give structure and rhythm particularly after retirement, matching the shift to intentional social habits in later life.","The claim is that scheduled recurring gatherings give life rhythm and structure especially after retirement, matching age-related shifts toward intentional social routines."
1,RT_59D8A63A4816,C10,C10,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C10,"The claim contrasts freely chosen defaults amid abundance with defaults forced by scarce options, the core abundance-versus-limited-choice distinction.","It distinguishes freely defaulting amid many options from being restricted to one venue, addressing the same abundance-versus-limited-options claim."
